Gene1	Gene2	Weight
CENPN	CENPP	1
EIF3C	EIF3F	1
POLR1E	IKBKG	1
CBX4	KDM1A	1
RPL28	RPL5	1
PRIM2	POLA1	1
TADA2A	WDR5	1
HDAC3	HDAC2	1
XRN1	EXOSC10	1
MED24	MED20	1
BCAS2	PLRG1	1
RBM15	XAB2	1
RPL17	UBA52	1
CDC5L	SNRPD2	1
U2AF1	U2AF2	1
DYNLL2	DYNLT2B	1
CAPZB	WASHC2A	1
FBXW7	REL	1
RPL6	IKBKG	1
EIF3F	EIF3A	1
RPL15	RPLP1	1
POLR2E	POLR2A	1
ARPC1B	ARPC4	1
NDUFS7	NDUFA6	1
CDC5L	SNRPD3	1
RPL19	RPL11	1
CHD8	WDR5	1
ZRSR2	SNRPD2	1
COG7	COG5	1
INTS4	INTS11	1
KMT2A	TEX10	1
RBBP7	MBD2	1
SNRNP48	PDCD7	1
CNOT3	CNOT6L	1
HDAC1	ZNF516	1
MED18	MED13	1
SNRNP25	SNRPD2	1
MND1	PSMC3IP	1
SEPTIN7	SEPTIN8	1
TAF4	TAF1	1
POLR2K	POLR2I	1
CCNA2	CCNB1	1
CCND2	CDK6	1
NDUFB7	NDUFB2	1
DHX16	U2AF2	1
CENPN	CENPL	1
SRPK1	DDX21	1
HAT1	HIRA	1
PRPF8	SF3B2	1
RSL24D1	RPL7	1
EIF3I	EIF3D	1
CHAF1B	ASF1A	1
STAT1	STAT2	1
ASF1B	H3C3	1
CTCF	NPM1	1
ATP5ME	ATP5F1D	1
E2F6	CHD8	1
ZMYM2	ZNF217	1
ACTB	MYO1E	1
MBIP	ZZZ3	1
N4BP2	KDM6A	1
RBBP5	NCOA6	1
SSRP1	HNRNPC	1
KPNA1	KPNA3	1
MED23	MED30	1
ATP5F1E	ATP5MG	1
NDUFB1	NDUFB2	1
RUVBL2	NFRKB	1
MRPL53	MRPL40	1
SRSF6	U2AF2	1
PPIE	SRSF1	1
RCOR1	ZNF516	1
NDUFS5	NDUFA2	1
CHAF1B	NASP	1
RPL4	RPL21	1
CAPZB	CAPZA1	1
RPL23A	RPL27	1
AP3S1	AP3B1	1
EIF3H	EIF3D	1
RPS3A	RPL18A	1
H2AX	XRCC6	1
CD2BP2	SF3A2	1
SNRNP70	DDX23	1
DTNBP1	AP3M1	1
RPL22	RPSA	1
NDUFB4	NDUFS7	1
TBP	MTA2	1
PAXBP1	SF3A1	1
MAP3K14	CHUK	1
TBL1X	NCOR1	1
YBX1	IGF2BP1	1
ARPC2	ACTR2	1
LSM4	XAB2	1
MED21	MED19	1
HMG20A	RCOR1	1
MED30	MED26	1
THOC6	THOC5	1
RPS28	RPL6	1
SNRNP48	SNRPD1	1
APOL1	FN1	1
USF1	USF2	1
SKP1	CRY2	1
TAF9	TAF10	1
RUVBL2	PFDN2	1
HPS5	HPS6	1
RPP14	POP7	1
TRAPPC9	TRAPPC3	1
WDR5	KAT2A	1
