Gene1	Gene2	Weight
SYF2	TAF1C	0
TAF9	PALS2	0
SIKE1	POLA1	0
SYMPK	IQGAP1	0
NUP107	NCAPD3	0
STUB1	INTS3	0
BAP18	MTA3	0
TRAPPC5	NDUFB5	0
SAP30	CCT3	0
SRSF11	SRPK1	0
VPS28	SMC2	0
CPSF4	MRPL21	0
SAP130	CDYL	0
BBS1	PCNT	0
POLR2L	SUPT6H	0
RUVBL1	NOS1AP	0
ATL2	HAUS7	0
MRPL42	CACTIN	0
SF1	BLOC1S3	0
HDAC4	TRAF2	0
HSPA5	HSPA2	0
RBM15	HNRNPR	0
GTF2F1	MRPL33	0
ATF7IP	SF3B2	0
SNX1	HSPA2	0
TUBG1	CCT5	0
SYMPK	MRPL54	0
CLNS1A	NPM1	0
PRPF40A	TUBGCP3	0
INTS1	PPP2R2A	0
SKP1	ARHGEF7	0
DYNC2LI1	E2F5	0
CDK12	RPL11	0
JUN	IKBKB	0
WASF2	PCNT	0
STAT1	POLE	0
YBX3	CWC22	0
MAP2K2	DOCK7	0
LAS1L	BAZ1B	0
ATP5PB	DERL1	0
FAM8A1	CTNND1	0
RPL11	GLE1	0
SH3KBP1	BECN1	0
SNW1	RPL6	0
TBL1Y	CCT7	0
CDC5L	PSMG2	0
RPL18	MRPL46	0
ERCC3	LENG8	0
CDYL	NDUFB3	0
MPO	FNTB	0
HAP1	HOOK3	0
SKIV2L	RBM25	0
SPAG9	CCNT1	0
HCST	LRRC8C	0
CENPN	RPL8	0
RBBP7	DICER1	0
YAP1	FGG	0
TBL1X	REL	0
FASTKD2	HNRNPC	0
GID8	RPL6	0
SIKE1	IFT172	0
CRNKL1	CABIN1	0
TRAPPC10	KIF5B	0
RPS15A	DKC1	0
AQR	NUB1	0
PELP1	POLR1E	0
HDAC4	RICTOR	0
KHDRBS1	CCT5	0
ATR	AGPAT2	0
ATL3	SURF1	0
MAD2L2	CXCR4	0
SPC25	CDC42	0
VPS16	TUBGCP3	0
RNF123	GTF2I	0
WDR77	TAF1A	0
SYMPK	MBIP	0
TUBGCP3	FIS1	0
NDUFV3	MT-ND4	0
AUP1	DNM2	0
SRPK1	MRPL47	0
CTNNBL1	BAZ1A	0
RPL35	PTCD3	0
YBX3	RBM22	0
GRSF1	SRRM1	0
TUBB	HPS6	0
FKBP8	SCNN1A	0
SRSF6	CENPT	0
GTF2F2	POLD1	0
MRPL17	RPL11	0
HERC1	HOOK1	0
ATF3	CPSF3	0
DDX11	EXOC6	0
HSPB8	FN1	0
POLR1B	MRPL4	0
CCNH	MTA3	0
MRPL13	RPP25	0
TLE4	SF1	0
GRIN1	CDC37	0
VPS52	SMARCC1	0
HPS3	SMC4	0
NUP98	FASTKD2	0
MDM2	MRPL35	0
ITGA5	TIMP1	0
MRPL12	OS9	0
PRIM2	EPS8	0
RFC4	PLXNA1	0
GEMIN4	MTOR	0
POLD2	HPS3	0
SYMPK	POLR1G	0
HERC1	NCAPD3	0
CHEK2	ARRB2	0
HSP90AA1	FGB	0
EHMT2	NFKB1	0
YBX3	DICER1	0
NCAPD3	QARS1	0
CDYL	TRIM33	0
RPS27A	BOP1	0
MRPL24	RBM17	0
LYN	BIRC2	0
RAD50	DYNC2LI1	0
TRIM33	TUBA1A	0
CDC5L	HOOK1	0
CENPK	STAG2	0
PIGK	ITGA6	0
PPP6R3	ITGAV	0
POLR2J	E2F6	0
RPL4	SUPT6H	0
RBM15	NOP10	0
TLE4	ESS2	0
RCOR1	SF3A3	0
PRKCA	BIRC2	0
CCAR2	TNKS	0
PPP2R1A	KRAS	0
MCC	BLOC1S5	0
ATP5F1A	CXCR4	0
SMARCE1	CECR2	0
DBF4	MPP7	0
MFAP1	PCF11	0
HIP1R	CAB39	0
STX6	STX3	0
SRPK1	MAD2L2	0
CRNKL1	MRPL38	0
NCBP1	MRPL40	0
MRPL42	PRPF4B	0
RSL24D1	GRWD1	0
VAMP3	WDHD1	0
TRAF6	GSK3B	0
LATS1	PPP1R12A	0
EP400	ARNT	0
CASP8	CXCR4	0
ZMAT5	PAXBP1	0
PTCD3	GAR1	0
AP3B2	COG5	0
MAP2K1	POLA1	0
RANBP9	NDUFB5	0
CDYL	CDC6	0
CYLD	YWHAE	0
SMAD1	NCAPH2	0
NUDCD3	IMP3	0
POLR1E	VPS26A	0
NCBP1	RPP40	0
C1QBP	RPSA	0
ANAPC7	SF3B3	0
STAU1	DKC1	0
PARN	MRPL44	0
NDUFS4	FARP2	0
NOP10	SF1	0
MRPL47	TOP3A	0
MRPL42	BLOC1S5	0
SIGMAR1	NDUFV3	0
POLD3	MTOR	0
MRPL41	NPM1	0
RPP40	DHX30	0
PRPF6	WDR77	0
STAG2	IKBKG	0
COG1	PRPF8	0
MRPL42	CTNNBL1	0
FARP2	CABIN1	0
NDUFS6	TAF7	0
TUBA1A	POLD1	0
NOP10	TAF1A	0
TERF2	TAF1B	0
SF3B4	RPL8	0
FASTKD2	PIGU	0
CHUK	CNOT11	0
CENPN	RPL29	0
PPP1R12A	YWHAE	0
POLR1B	MRPL50	0
MLLT1	HAUS7	0
SPAG9	INTS8	0
PTCD3	RPL37A	0
ERCC4	ZZZ3	0
CNOT1	TAF11	0
RPS26	ZCRB1	0
RAB5A	GLMN	0
BIRC2	PCNT	0
TNIP1	CNOT11	0
CRNKL1	DHX30	0
SNRPA1	RPS8	0
TAF5	RBM25	0
FHL2	MAD1L1	0
CNOT6	TADA2A	0
BUD13	RPL10A	0
SRPK1	PAXBP1	0
MED14	AURKB	0
RPL31	MRPL52	0
MRPL42	TEX10	0
INSR	NUMB	0
SERPINA3	XRCC4	0
MRPL15	XRN1	0
AUP1	DAD1	0
HIRA	RPL27	0
CTBP2	HMG20B	0
MTIF2	NDUFA6	0
INTS11	HAUS3	0
PES1	NCAPH2	0
RPS28	PRPF4B	0
EMD	VANGL1	0
FAS	BSG	0
SKIV2L	SRRT	0
RPL27A	MRPL38	0
ABCF2	MALT1	0
MAPK1	YAP1	0
GRSF1	DHX8	0
THRAP3	MRPL55	0
PRPF6	SMC2	0
CCT2	RPS3	0
KSR1	PRPF4B	0
EGFR	TIMP1	0
ISY1	NUMB	0
KSR1	FGG	0
CDK12	RPS13	0
KDM6A	INTS6	0
RPP25	SRRM1	0
XAB2	MRPL16	0
MRPL45	PAXBP1	0
RPAP1	HSPA1B	0
CNOT1	PTK2	0
WDR77	CCT4	0
GPAA1	EPS8	0
SYNCRIP	RPS13	0
RPP14	CDC5L	0
HUS1	SYVN1	0
PHC2	ITGA6	0
NCAPG2	CNOT11	0
RPS3A	SRSF7	0
KTN1	FNTA	0
PTK2	NELFA	0
SERPINA3	CHTOP	0
MT-CO1	ATP5F1B	0
MICU1	CHTF18	0
FAM8A1	GLMN	0
FASTKD5	PRAME	0
TAF10	DYNC2I1	0
MRPL40	RPL30	0
ANAPC7	DYNC2H1	0
TOP3A	MTIF2	0
GCA	CASK	0
MRPL11	TARBP2	0
PPP6R3	RSL24D1	0
SRSF3	CENPP	0
PRPF6	PELP1	0
CENPN	RPLP2	0
HOOK1	SFI1	0
SERPINA1	HAUS1	0
KAT14	TAF12	0
CDYL	H2AX	0
YAP1	NUF2	0
CHEK2	PRAME	0
MATR3	HNRNPC	0
MAP2K2	HOOK2	0
SF1	POLR1G	0
RPLP1	CENPQ	0
STAT3	NPLOC4	0
RO60	MRPL19	0
TBP	SYVN1	0
XRN1	ZNF326	0
SIKE1	CDC6	0
RPL17	LAS1L	0
MT-ND1	INTS5	0
TUBGCP2	AGPAT2	0
GIT1	CENPO	0
SAPCD2	LIN7A	0
HMG20A	HNRNPC	0
ERCC1	HSF1	0
HDAC1	KPNA2	0
DYNLT2B	SKP2	0
SNX6	NPHP3	0
EPS8	PTK2	0
RPL23	ORC2	0
STAT1	DNM2	0
IRF2BPL	JUN	0
KSR1	SHANK3	0
CCP110	TAF5	0
GIT1	GCN1	0
SIN3A	SETDB1	0
UBR5	SETD1B	0
SNAPIN	SELENBP1	0
MRPL24	SF3B4	0
POLR2J	MED30	0
TUBA1A	NUP107	0
MRPL47	PABPC1	0
UBR5	PRMT5	0
FAS	TUBA1A	0
RNF123	NFKB1	0
VANGL2	EGFR	0
KCNQ5	ITPR3	0
PPP6R3	CDK6	0
PRIM1	TRIM33	0
WASF2	DNM1L	0
FGB	RHOA	0
KAT2A	RAD21	0
PSEN1	CD47	0
RPL3	TOP2A	0
TBL1XR1	FKBP15	0
NCOA1	DYNC2I1	0
KPNA1	ZNF217	0
HNRNPR	ACTR5	0
SRSF7	KEAP1	0
CDC16	CTNNB1	0
PRPF8	MRPL51	0
DAD1	TOMM22	0
RPS19	CDK6	0
VANGL1	RPS4X	0
PTCD3	MRPL20	0
NPLOC4	SYVN1	0
MRPL24	SMARCA1	0
MRPL11	SRRM1	0
SNRNP70	GEMIN5	0
IRF2BP1	BAZ2A	0
TUBA1A	UBAC1	0
ARRB2	MCU	0
NDUFS3	PPP2R1B	0
NFKBIA	NEDD9	0
ACTR5	BAZ1A	0
FYN	MYO1E	0
RPL26	MRPL4	0
INSR	WDR5B	0
SNRNP48	MATR3	0
PHC2	TAF1A	0
RAB5A	CPSF7	0
VANGL1	POP7	0
KMT2B	SYMPK	0
RPL17	TOP3A	0
HNRNPC	MRPL46	0
VPS52	PCNT	0
VANGL1	TAF1	0
RPL19	RBM39	0
PPME1	IK	0
PLD1	DYRK2	0
RPS26	NCAPD3	0
ATP5MC1	DERL2	0
MED27	POLR2E	0
GTF2F1	SUPT6H	0
RPL11	IMP3	0
TNKS	BRCA2	0
SKIV2L	PIGU	0
XIAP	HPS5	0
RPS9	MRPL46	0
USP12	FARP2	0
RPL3	UBAC1	0
ERAP1	TTC8	0
EEA1	BECN1	0
POLR2E	PRKAA1	0
HERC1	ACTR5	0
HSP90AA1	NDUFB9	0
TRAPPC2	TUBGCP2	0
ZNF217	CCT5	0
MBIP	CDC27	0
AP3B1	MRPL20	0
ITGB4	NOTCH2	0
EIF3D	EIF4G1	0
HAX1	COX15	0
MRPL34	RPS8	0
MYBBP1A	CENPP	0
MRPL28	TSEN54	0
AP2M1	EIF3H	0
DGCR8	MRPL55	0
PRIM2	MRPL36	0
ZMYM2	NSMCE4A	0
EED	MCRS1	0
FGFR2	PIGS	0
CBX4	POP4	0
GLE1	CACYBP	0
TRAPPC2	GEMIN4	0
RPL24	PLXNA2	0
FANCA	HSPA2	0
WDHD1	TUBA1A	0
MRPL43	POP1	0
RELB	CDK6	0
BUD13	MPRIP	0
SRSF6	IMP3	0
HSPA2	CCT6A	0
FTL	NDUFB4	0
ILF3	SRSF1	0
MPHOSPH10	RPL30	0
MRPL51	PLCB3	0
XRN1	STAU1	0
RAB5A	CSTF3	0
VPS8	SURF1	0
COA1	ORC1	0
KAT14	SETDB1	0
MRPL32	DHX9	0
WDR77	CCT5	0
MPRIP	IGHM	0
BAG3	RBCK1	0
RPL4	MRPL18	0
MT-CO1	DERL1	0
CASK	PPP2R2A	0
STAT1	TGFBR1	0
PLD1	HAUS7	0
MTA3	SKP2	0
CDC16	HSPA2	0
INO80D	URI1	0
VIRMA	RPL7A	0
TRAPPC8	STX6	0
TFDP1	YEATS2	0
TRAPPC2	SHANK3	0
ILF3	SART1	0
H4C2	CHTOP	0
TRA2B	FKBP5	0
RPL10A	MRPL40	0
DHX38	PES1	0
HAUS5	VPS51	0
ASF1B	RPS15	0
COG7	VPS18	0
TRAPPC9	SAPCD2	0
DYNC2H1	CHD4	0
CHD3	MRPL4	0
ARRB2	LRRC8E	0
NPHP4	KAT8	0
REEP5	PIGK	0
MRPL47	MTIF2	0
PPP1R12A	BRAF	0
WWC1	LATS1	0
MAP2K2	TTC8	0
VIRMA	HDAC7	0
HPS5	ESS2	0
PIK3C2A	CDC6	0
EIF4E	EIF4ENIF1	0
RBL2	SMARCA5	0
DAD1	ERBB3	0
MPRIP	ARHGEF7	0
STAT1	MSH6	0
PPME1	CP	0
PAXIP1	CDC20	0
SLU7	HDAC6	0
BAG3	NFRKB	0
ITPR3	TRIM25	0
ITGAV	WDR26	0
RFC1	RPL5	0
CCP110	HAUS8	0
MTOR	FLT4	0
SKIV2L	RAD51C	0
MTOR	WASHC4	0
MGAT4B	COPB2	0
RPL35	MRPL9	0
FAM8A1	NDUFC2	0
ATP5F1C	VDAC1	0
MRPL12	MT-ND4	0
VIRMA	IQGAP2	0
TCF7L2	NCKAP1	0
MRPL45	NDUFA6	0
ING2	LIN52	0
HDAC4	PIK3C2A	0
CPSF7	SNRNP25	0
TSC2	HPS5	0
MAP2K2	ACTR8	0
VPS39	POLR1G	0
PTK2	MED19	0
TRAPPC12	GORASP1	0
SNX6	HSP90AB1	0
TAF2	HSPA2	0
PIK3C2A	CAPNS1	0
SIKE1	INTS1	0
SRSF6	SETD1A	0
PKD2	PIGT	0
INO80E	TAF1B	0
HNRNPC	ZNF326	0
SUV39H1	ATF7IP	0
DYNC1H1	DYNLT1	0
TTC37	U2SURP	0
RPL18A	CENPP	0
TJP1	CP	0
MDM2	RPL3	0
AFDN	DNM2	0
PLRG1	CHTF8	0
HAUS5	MAP2K2	0
HSP90AB1	ERBB2	0
CAMK2D	KAT14	0
TAF9	PMS1	0
NUP155	BUD13	0
SRSF5	MRPL44	0
PIK3C2A	MPRIP	0
DISC1	HAUS3	0
CHTOP	ACTR5	0
GEMIN5	DKC1	0
TAF9	ITPR3	0
IGF2BP3	CBX4	0
KPNA1	TAF1A	0
DDX11	CNOT11	0
ARHGEF2	TCP1	0
HSPA5	VPS35	0
SF3B1	RPL32	0
APBB1	BRCA2	0
HAUS1	VPS18	0
MRPL30	RPS20	0
POLD1	PCNT	0
RPS17	BUD13	0
SNX6	PRPF40A	0
CHEK1	POLR1B	0
MYBBP1A	KLC1	0
GTF2F2	PCF11	0
SGF29	CHUK	0
VANGL1	GTF2H2	0
MRPL13	RPS19	0
CHUK	MAP2K2	0
PRPF40A	GTF2I	0
NCAPG2	MMP14	0
BRIP1	MRPL16	0
ACTR5	AIFM1	0
RPS8	MRPL16	0
ERCC4	MAP2K2	0
NDUFA4	GLG1	0
ERCC4	TADA2A	0
SIGMAR1	FGG	0
TBL1X	ARNT	0
CCT6A	ISY1	0
RIPK1	INTS8	0
SERPINA1	RPP30	0
RPS13	HNRNPF	0
TAF1C	ACTR5	0
STAG2	VPS18	0
BOP1	MRPL23	0
RPL36	TAF1C	0
CBX8	GAR1	0
PPP2R3B	ACTR5	0
CCT4	TUBGCP2	0
RIPK1	HOOK2	0
KDM6A	SPC24	0
CHEK2	RNF123	0
BSG	AURKB	0
ATL3	VPS26A	0
BOP1	TAF1A	0
CENPL	DHX30	0
SPC25	NUP107	0
SCNN1A	FGFR4	0
SENP3	UPF1	0
YBX3	SRRM2	0
VPS8	SIGMAR1	0
EED	IK	0
GLE1	SF3A1	0
SUZ12	BRD4	0
MRPL30	RPL3	0
INTS5	HSF1	0
ARRB2	YAP1	0
ITPR3	PLXNA1	0
TAF1C	MRPL50	0
FANCG	INTS2	0
CDK12	BRD4	0
RPS16	SIRT1	0
KLC1	WWC1	0
BTK	PTK2	0
MICU2	NDUFV3	0
BUD13	DGCR8	0
STX6	VPS51	0
SETD1A	SIRT1	0
TRIB3	LMO2	0
TTC37	RPLP0	0
MT-ATP8	DERL1	0
HERC1	HSP90AA1	0
XRN1	H2AX	0
FASTKD2	MRPL33	0
KMT2A	MRPL4	0
EPB41L3	HDAC5	0
DCAF1	MRPL11	0
SMARCA2	WDHD1	0
MRPL2	TOP3A	0
CHUK	ANKS6	0
MRPL21	RPS9	0
CENPL	CDK12	0
DMTN	LATS1	0
CDC40	MRPL21	0
ATP5IF1	DYNLL1	0
RCOR1	TFDP1	0
DOCK7	TIAM1	0
SMARCA4	SUPT6H	0
IPO4	CAB39	0
VPS50	SYVN1	0
RAD50	HSPA5	0
COG5	INTS5	0
PPP1R12A	TRIM33	0
TEX10	MRPL22	0
HSPB8	CD47	0
MICU1	CDCA8	0
WWC1	ARHGEF7	0
HAUS5	MPRIP	0
ERCC6	SAP30	0
RPS3A	MRPL20	0
U2SURP	POLR1E	0
COG1	WASHC5	0
KLC1	BRMS1	0
MT-CO1	DERL2	0
BRIP1	POLR2J	0
ITGB4	ITGB5	0
POLR2J	CUL5	0
MT-ND4	MTIF2	0
IFT57	FNTB	0
CHD4	ORC2	0
CCNA2	CCT5	0
CENPL	RPL5	0
ATG13	SMG6	0
LIN54	URI1	0
SNX6	MKS1	0
DCAF1	YBX3	0
DHX8	SNUPN	0
TAF2	PUF60	0
INTS7	CXCR4	0
ITGA2	ITGA4	0
CCT5	TUBGCP2	0
TSC2	DDX28	0
GCN1	INTS3	0
SETD1A	GEMIN6	0
NOS1AP	TAF7	0
EEF1A1	FNTB	0
POLR2J	SUPT6H	0
RPL4	POP1	0
SMARCA2	TCERG1	0
RPP14	TAF1A	0
POLD1	HAUS7	0
POLR2A	REL	0
STAG2	HGS	0
NCAPD3	MRE11	0
STAG2	MTA3	0
NDUFB3	SURF1	0
FAM8A1	IGF1R	0
CHEK2	RAD50	0
PRKDC	TUBGCP3	0
RPS19	SNRNP27	0
RAD50	CYTH3	0
MDM2	SUDS3	0
RPL26	TAF1C	0
GPAA1	L1CAM	0
GEMIN5	MBD3	0
HAUS5	INO80E	0
MRPL13	RPS5	0
AP3D1	WDR26	0
SIKE1	CACYBP	0
POLR1E	DISC1	0
IRF2BP2	PTK2	0
SAP130	CAPZA1	0
CASP2	RAF1	0
BUD13	TERF1	0
XPA	HAUS6	0
SETDB1	NDUFB3	0
NPLOC4	INTS6	0
CLNS1A	SNRNP70	0
VANGL1	PELP1	0
DYNC2LI1	ERCC2	0
TUBB	CUL4B	0
H3-3B	SETDB1	0
HOOK1	RB1CC1	0
CBX8	RPP38	0
MCM8	BBS1	0
GNB1	WRAP53	0
NSMCE4A	HAUS6	0
AURKA	REL	0
CCT3	COPS2	0
PALS2	MBD3	0
RUVBL2	RPLP0	0
WDR26	NDUFAB1	0
TMEM67	PPP3CA	0
PAK1	PAWR	0
C1QBP	CENPT	0
FHL2	HAUS3	0
TRAPPC2	ATP5PD	0
SMDT1	VAMP3	0
XAB2	TAF6	0
ACTR8	EP400	0
TMEM67	PSEN1	0
HAUS8	TAF4	0
SKIV2L	SMC4	0
MAD1L1	MRE11	0
SF3B2	MRPL49	0
NDUFB9	FASTKD2	0
MRPL33	PRKAA1	0
MRPL38	TAF1C	0
SRPK1	CPSF4	0
DSCC1	SMC1A	0
FANCC	COG5	0
NCAPG2	PLD1	0
SQSTM1	KEAP1	0
MED13L	CASP2	0
WDR26	IQGAP2	0
RPL6	FASTKD2	0
DKC1	MRPL50	0
ADGRL3	IL6ST	0
IPO4	MRPL50	0
INO80B	PPP2R3B	0
ANKS6	HAUS6	0
RBBP8	RELA	0
FTL	MRPL39	0
RPL35	PPP1R12A	0
SETDB1	WDR26	0
PMS1	MOV10	0
NCAPG2	AP5B1	0
NUF2	JUN	0
NOS1AP	VIM	0
RPP40	RPL5	0
KLHL3	SRSF3	0
ILF2	DKC1	0
SIRT1	MRPL52	0
ITGB1	PKD2	0
EXOC6	DYNC2H1	0
ARNT	MYO1E	0
GEMIN5	PIK3C2A	0
HSPA2	SF3A3	0
DGKZ	PIK3R1	0
CDYL	ZZZ3	0
VPS51	SURF1	0
MAP3K7	NEK2	0
TGFBR1	SURF1	0
AKT1	HAUS6	0
PPP3CB	ERAP1	0
IFT57	RICTOR	0
CSE1L	FHIP1B	0
CHD3	FARP2	0
STK11	ACIN1	0
RPL7	NOP10	0
GPAA1	UBE2J1	0
MLLT1	HSPA4	0
HAUS3	SLU7	0
CAMK2D	E2F5	0
VAMP3	MALT1	0
TUBB	DDX28	0
HDAC4	NCKAP1	0
MKLN1	RPL13A	0
IFNAR1	NFKB1	0
IGF2BP3	RPL35	0
MKLN1	FGB	0
INTS6	VPS26A	0
GTF2H1	POLD1	0
CDC40	GEMIN6	0
TRAPPC6B	SELENBP1	0
SRC	PIGU	0
SYNCRIP	VIM	0
TTC37	NFKB1	0
PRPF6	DOCK7	0
CWC22	SIN3A	0
IFT20	DYNC2H1	0
SRPK1	MOV10	0
MAP3K7	CDK7	0
MAP2K1	HAUS6	0
RPL24	GSK3B	0
N4BP2	CHTF18	0
PIGK	FANCA	0
VPS50	LRRC8E	0
DZIP1	TAF2	0
CUL3	RHOA	0
SRSF5	XRCC5	0
MAP3K7	SMG6	0
CHAF1B	RSF1	0
NPHP3	FARP2	0
RIPK1	HOOK3	0
CAND1	CHEK2	0
MRPL17	RPS15	0
RNF2	CTNND1	0
MLLT1	HAUS3	0
YAP1	HDAC7	0
RELA	HPS5	0
RBL2	CDK1	0
CNOT7	RICTOR	0
HSPB8	PIK3R4	0
PPP2CA	CDC42	0
DCP1A	ITGA7	0
IRF2BP2	MED20	0
PRPF6	HAUS6	0
VPS52	IFT80	0
GEMIN7	SNRPC	0
P4HA3	KMT2B	0
HOOK1	KIF5C	0
HOOK3	SYNE1	0
MAP2K2	CNOT11	0
REL	CTNNBIP1	0
MRPL30	RPS2	0
MRPL15	XAB2	0
CCP110	TRIM33	0
KMT2A	WDR12	0
MRPL13	RPL28	0
CNOT6L	TAF9	0
NDUFS4	NELFE	0
LRRC8C	TTC8	0
SMC2	POLR1A	0
RPL17	STAU1	0
RPL7A	RPP30	0
COG7	OPA1	0
RPS14	ZNF326	0
EXOC5	CHUK	0
EIF3A	GNAQ	0
SQSTM1	TIMP1	0
TRIM27	CNTNAP1	0
GEMIN5	CHTF18	0
CHTOP	SRRM1	0
SKIV2L	RPL4	0
TRA2B	FASTKD2	0
MRPL48	CTNNBL1	0
POLR2F	KAT14	0
MRPL45	RPS10	0
HOOK3	WASHC4	0
SMAD3	SMC4	0
NOP10	PRPF4B	0
DKC1	MCRS1	0
H2AX	BRK1	0
KDM6A	CDC6	0
WBP11	CABIN1	0
RPS20	MRPL18	0
SETD1A	PRIM1	0
HAX1	MAD1L1	0
RPS13	MRPL46	0
PIK3C2A	TAF7	0
PIGU	FGFR2	0
STAU1	SSRP1	0
MAP2K2	ARNT	0
CBX4	NPHP4	0
DOCK7	DBF4	0
PLXNA4	NOTCH2	0
MRPL49	DICER1	0
CNOT10	EIF3A	0
SENP3	BUD13	0
GOLGA2	PPP1R13B	0
MT-CO1	DDX20	0
VANGL2	VPS51	0
SH3KBP1	SEPTIN8	0
KCNE3	VANGL1	0
DAXX	MRPL54	0
TRRAP	GORASP1	0
PAXBP1	RPL13A	0
HPS6	CDK7	0
RPL19	RNPS1	0
SNRNP35	SART1	0
TADA3	TAF1	0
IFNAR1	NOTCH2	0
DOCK7	RELA	0
CUL2	WDR26	0
CAV1	ATP5F1B	0
ITFG2	ANK3	0
BAG3	HAUS6	0
AP5B1	MRE11	0
SENP3	PCNT	0
VPS50	BZW1	0
GEMIN5	DDX23	0
STX11	KAT5	0
CHD3	TRIM33	0
MRPL13	CENPT	0
IKBKB	ARHGEF1	0
VPS50	RIPK1	0
MRPL3	SMARCA5	0
RPLP2	TSHZ3	0
DCAF1	DDX20	0
NUP133	IPO4	0
MCC	HAUS5	0
PSMC3	BRD4	0
MRPL55	EZR	0
MRPL48	TOMM40	0
ABI1	CEP290	0
FGA	DNM2	0
ATP2A1	ATP2A2	0
RPLP2	RBM15	0
H3C3	RPL3	0
PRPF40A	CASK	0
SMURF2	PAWR	0
BAZ2A	INTS3	0
MRPL43	RPS23	0
TGFBRAP1	SEPTIN8	0
CCND1	CREBBP	0
HAX1	CDK7	0
SAV1	SMAD1	0
RPL31	DHX16	0
CNOT11	BRCA2	0
BAG3	NRP2	0
AQR	SKP2	0
RPS2	BAZ1B	0
KAT14	POLE	0
RPS10	LIN7A	0
MRPL42	SF3B2	0
RPL4	DHX30	0
SRRT	MRPL52	0
TOP2A	TAF4	0
ZRSR2	SF3A1	0
MRPL11	KLHL3	0
HDAC2	EED	0
RPL6	TAF1B	0
PHC1	NCOA2	0
NHP2	CENPP	0
CEP290	ESS2	0
CD9	IGF2R	0
HAUS5	TAB2	0
SEPTIN11	MRPL22	0
STUB1	RPAP1	0
MRPL49	THOC5	0
CHD3	FBXW8	0
MRPL49	RPS14	0
CDC16	PLD1	0
CD47	ATP5F1B	0
NCOR2	HAUS7	0
TAF12	ERCC1	0
LSM3	SNRNP35	0
CCP110	TTC8	0
MAD2L1	YEATS2	0
HNRNPC	IMP3	0
XRN1	USP7	0
TTC37	HPS5	0
DDB1	KDM1A	0
RPL37	UBAC1	0
SQSTM1	PIK3R4	0
ECSIT	COX15	0
RPL18	POP1	0
CRNKL1	LENG8	0
TRIM25	GPSM2	0
NUP133	KARS1	0
TSC2	HAUS7	0
POLR1A	CCAR2	0
CNOT6	STX3	0
MRPL44	YBX3	0
IRF2BPL	XAB2	0
TTC37	STAU1	0
LDB1	SHARPIN	0
CACTIN	REEP5	0
RPL37A	SF3B4	0
APC	CXXC1	0
CSTF3	CSE1L	0
TCF4	TCF3	0
SPAG9	FNTA	0
RAF1	GIT1	0
TRAF2	FBXW11	0
RFC3	POLE	0
HERC1	BLOC1S1	0
MCRS1	SKP2	0
CCP110	RPS11	0
RPS6	AP3M1	0
NCOA2	TRIM33	0
PAK1	YAP1	0
TGFB1	JUN	0
RPS17	RALY	0
IGF1R	RAD51C	0
ITGA5	SGCB	0
SAV1	WDR26	0
LATS1	APC	0
HOOK1	ARHGEF1	0
NFKB1	WASHC5	0
IRF2BP1	SMARCA5	0
CDC5L	MRPL19	0
RPL3	NSMCE4A	0
ULBP3	NDUFA3	0
SNAPC4	HSPA1B	0
RPL3	MRPL39	0
HERC1	VCP	0
BLOC1S5	INTS6	0
CLNS1A	TAF1A	0
CUL4B	CD9	0
ZCRB1	RPL29	0
CTBP2	SPOP	0
H2AX	RPS18	0
PRKCA	DNM1L	0
RAB5A	TRIM25	0
PIK3C2A	YBX1	0
VPS50	CSE1L	0
SNAPIN	PSMC3IP	0
GEMIN4	CD2BP2	0
EHMT2	PSMG1	0
MED6	SRSF11	0
MSH3	POLR2J	0
CYLD	VPS28	0
SRPK1	POLR1E	0
TUBA1A	NDUFA13	0
IRF2BP1	XRN1	0
AP2M1	CABIN1	0
MRPL42	CREB1	0
RFC1	RPL23A	0
ATF3	CCP110	0
RPL9P8	POP4	0
STAT3	YY1	0
NDUFAF1	MRPL24	0
RBM39	TAF1A	0
RPL19	SRSF3	0
TRRAP	TRIM33	0
YBX3	RPL18	0
SRRT	DHX30	0
SRSF1	YBX1	0
FTL	PELP1	0
WDHD1	MRPL22	0
RPS3	MPHOSPH10	0
GEMIN5	SRRT	0
RPS8	RPP38	0
DYNC1LI1	KMT2C	0
RIPK1	TUBGCP3	0
ANAPC7	GEMIN6	0
CHTOP	SRSF11	0
MCM6	MTA2	0
TRAPPC10	USP2	0
FBXW11	STK3	0
CHTOP	C1QBP	0
HIP1R	STAG1	0
CD47	PLXNA1	0
CENPL	RPL7	0
VPS35	CREBBP	0
CENPT	RPLP0	0
BRMS1L	BAZ1B	0
MDM2	RUVBL2	0
RPS8	DHX8	0
NFRKB	TUBGCP2	0
RPS16	MRPL43	0
FTL	MRPL43	0
HSF1	REL	0
PIK3C2A	KAT2A	0
MGAT4B	KCNJ11	0
TFIP11	RPL13	0
GEMIN5	TRIM33	0
PTCD3	CASC3	0
GOLGA2	ATF7	0
MT-ND5	MRPL10	0
VASP	CDK7	0
MRPL30	RPS3A	0
AP2A1	CNOT11	0
IPO4	RAF1	0
TNIP1	SETDB1	0
GEMIN5	RELB	0
EP300	HAUS2	0
EIF3J	FKBP5	0
SGF29	TRAF3IP1	0
EP300	SF1	0
LIN7C	INTS12	0
TRAF2	RPP30	0
CCNT1	IFT20	0
RNF31	POLR2J	0
CSTF3	CXXC1	0
TUBA1A	DCP2	0
SIGMAR1	C1QC	0
