Complexes(Gene Name)	drug-target-Gene	Percentage(|drug-target-Gene| / |complex|)	
MRPS5;MRPS6;MRPS34;MRPS22;MRPS17;MRPS14;MRPS2;MRPS28;MRPS12;MRPS10;MRPS21;MRPS18C;MRPS18A;MRPS11;MRPS7;MRPS16;MRPS35;MRPS24;MRPS33;MRPS9;MRPL42;MRPL20;MRPL17;MRPL16;MRPL15;MRPL24;MRPL23;MRPL48;MRPL1;MRPS25;MRPL30;MRPL38;MRPL4;MRPL34;MRPL21;MRPL22;MRPL47;MRPL3;MRPL2;MRPL55;MRPL9;MRPL11;MRPL50;MRPL33;MRPL49;MRPL39;MRPL13;MRPL18;MRPL37;MRPL54;MRPL35;MRPL43;MRPL32;MRPL41;MRPL14;MRPL51;MRPL27;MRPS30;MRPL45;MRPL52;MRPL10;MRPL28;MRPL57;MRPL46;MRPL53;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44	3	0.0422535211268	
SEH1L;NUP43;NUP133;NUP107;NUP37;NUP160;SEC13;NUP98	1	0.125	
HDAC2;ZNF217;HDAC1	1	0.333333333333	
ELOC;ELOB	2	1.0	
MT-ND3;NDUFA1;NDUFB6;NDUFB11;NDUFB1;NDUFA6;NDUFB10;NDUFA2;NDUFA7;NDUFS6;NDUFS5;NDUFB2;NDUFA5;NDUFA8;NDUFV1;NDUFB7;NDUFV2;NDUFB4;MT-ND2;NDUFB9;NDUFV3;NDUFS4;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFA10;NDUFA3;NDUFAF2;NDUFS8;NDUFS7	2	0.0625	
MRPL47;MRPL33;MRPL53;MRPL34;MRPL14;MRPL43;MRPL54;MRPL39;MRPL49;MRPL50;MRPL37;MRPL18;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL32;MRPL9;MRPL11;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS17;MRPS21;MRPS18C;MRPS10;MRPS7;MRPS34;MRPS2;MRPS24;MRPS11;MRPS22;MRPS16;MRPS35;MRPL40;MRPS5;MRPS6;MRPS23;MRPS28;MRPS9;MRPL44	3	0.0428571428571	
NDUFS5;NDUFA2;NDUFB10;NDUFB2;NDUFA5;NDUFA7;NDUFA6;NDUFS6;NDUFA8;NDUFV1;NDUFA1;NDUFB1;NDUFB7;NDUFB6;NDUFV2;NDUFV3;MT-ND3;NDUFB11;NDUFB4;NDUFB9;NDUFS4;NDUFS3;NDUFS1;NDUFS2;NDUFAB1;NDUFA12;NDUFA3;NDUFA10;NDUFS8;NDUFS7	1	0.0333333333333	
F2R;F2RL1	1	0.5	
GTPBP8;SUGCT;MRPL16;MRPL1;MRPL24;MRPL17;MRPL15;MRPL3;MRPL45;MRPL22;MRPL14;MRPL32;MRPL9;MRPL11;MRPL55;MRPL19;MRPL57;MRPL20;MRPL47;MRPL58;MRPL41;MRPL46;MRPL27;MRPL35;MRPS30;MRPL2;MRPL48;MRPL18;MRPL51;MRPL28;MRPL13;MRPS18A;MRPL42;MRPS33;MRPS21;MRPS10;MRPL40;MRPS14;MRPS2;MRPS22;MRPS16;MRPS24;MRPS35;MRPS5;MRPS23;MRPS28;MRPL44;CHDH	2	0.0416666666667	
ABCC5;ABCC1	1	0.5	
HDAC1;HDAC2;ZNF217;ZNF516;RREB1;RCOR3;PHF21A;RCOR1	1	0.125	
C1QA;LOX	1	0.5	
NUP54;NUP58	2	1.0	
MAST1;MARK1;MAST2	1	0.333333333333	
ZNF516;ZNF217;CTBP2;RREB1;CDYL;RCOR3;HDAC2;HDAC1;EHMT2;EHMT1;RCOR1	1	0.0909090909091	
PRKAR1A;PRKAR2A;PRKACA	1	0.333333333333	
MRPL53;MRPL33;MRPL34;MRPL14;MRPL43;MRPL54;MRPL39;MRPL49;MRPL50;MRPL18;MRPL37;MRPL21;MRPL30;MRPL23;MRPL22;MRPL12;MRPL4;MRPL13;MRPL48;MRPL38;MRPL32;MRPL9;MRPL11;MRPL47;MRPL35;MRPL28;MRPL55;MRPL17;MRPL41;MRPL27;MRPL51;MRPL46;MRPL3;MRPL10;MRPS18A;MRPL15;MRPL52;MRPL24;MRPL45;MRPL20;MRPS30;MRPL42;MRPL2;MRPL58;MRPL16;MRPL57;MRPS14;MRPL19;MRPS33;MRPS25;MRPL1;MRPS10;MRPL40;MRPL44;MRPS24	1	0.0181818181818	
