Complexes(Gene Name)	virus-related-Gene	Percentage(|virus-related-Gene| / |complex|)
MRPS34;MRPS18C;MRPS10;MRPS2;MRPS17;MRPS6;MRPS28;MRPS22;MRPS21;MRPS11;MRPS14;MRPS7;MRPS18A;MRPS35;MRPS24;MRPS12;MRPS16;MRPS33;MRPS9;MRPS5;MRPL42;MRPL17;MRPL20;MRPL16;MRPL24;MRPL1;MRPL15;MRPL48;MRPL23;MRPS25;MRPL30;MRPL2;MRPL38;MRPL21;MRPL34;MRPL4;MRPL22;MRPL47;MRPL3;MRPL11;MRPL9;MRPL55;MRPL33;MRPL50;MRPL49;MRPL13;MRPL39;MRPL18;MRPL54;MRPL43;MRPL37;MRPL35;MRPL14;MRPL41;MRPL32;MRPL27;MRPL51;MRPS30;MRPL52;MRPL10;MRPL45;MRPL57;MRPL46;MRPL28;MRPL53;MRPL12;MRPL58;MRPL19;MRPS23;MRPL40;MRPL44;GTPBP8	3	0.0416666666667
RPS23;RPL12;RPL21;RPL34;RPL18A;RPL32;RPL27A;RPL24;RPL36;RPL14;RPL35A;RPL9P8;RPLP1;RPL27;RPL7;RPLP2;RPL26;RPL37A;RPL7A;RPL15;RPL5;RPS13;RPS26;RPS24;RPS17;RPS5;RPS14;RPL19;RPS8;RPL6;RPL4;RPLP0;RPL13;RPS9;RPS19;RPL23A;RPS16;RPS18;RPS3A;RPS2;RPS6;RPS3;RPS20;RPS15;RPS25;RPS15A;RPS10	1	0.0212765957447
HSPA4;BAG5	1	0.5
RAB24;RAB6A;RAB1A;RAB1B;GDI2;RAB10;RAB6C;RAB12;RAB7A;GDI1;RAB5C;RAB22A;RAB4B;RAB2B;RAB34	4	0.266666666667
WASHC2A;CAPZB;CAPZA1;WASHC4	1	0.25
RBM47;MIPOL1;ZBTB8A	1	0.333333333333
SCD;SEC62;LPCAT4;SOAT1;GPAT4;ICMT;FDFT1;TMEM259;RPN2;GPAT3;UBAC2;ATL2;CDS2;CDS1;LPGAT1;RFT1;GGCX;PTDSS2;LPCAT3;PIGO;ERMP1;FADS3;SCD5;MSMO1;ATL3;STT3B;CCDC47	3	0.111111111111
DNAJC22;TMEM245;DPY19L1;RFT1	1	0.25
TMEM161B;DNAJC25;ABHD16A;TMEM245;GGCX;TMEM68;TMEM39B;LPCAT4;PIGO;ATL2;GPAT4;LPCAT3;SC5D;TLCD4;SLC35F2;LCLAT1	3	0.1875
MSMO1;KDSR;ALG11;TMEM259;FDFT1;UBAC2;ICMT;ATL2;CDS2;GPAT3;CDS1;ATL3;LPCAT4;MPDU1;CERS2;VKORC1L1;GPAT4;LPGAT1;RFT1;EI24;PTDSS2;LPCAT3;PIGO;ERMP1;MBOAT7;HMGCR;REEP4;CERS6;MGST3	3	0.103448275862
GLT8D2;GXYLT2;GXYLT1;CHST10;GALNT7;MGAT2;HS6ST2;CHPF2;C1GALT1C1;ST3GAL4;MGAT5	2	0.181818181818
ATP6V1A;ATP6V1B1;ATP6V1E1;ATP6V1B2;ATP6V1E2;ATP6V1G1	1	0.166666666667
TYSND1;GNPAT	1	0.5
ITGA5;TGM2;ITGB1	1	0.333333333333
