UniProt1	UniProt2	Weight
Q96T37	Q9HCS7	1
P18621	P62987	1
Q99459	P62316	1
Q01081	P26368	1
Q96FJ2	Q8WW35	1
P47756	Q641Q2	1
Q969H0	Q04864	1
Q02878	Q9Y6K9	1
O00303	Q14152	1
P61313	P05386	1
P19388	P24928	1
O15143	P59998	1
O75251	P56556	1
Q99459	P62318	1
P84098	P62913	1
Q9HCK8	P61964	1
Q15696	P62316	1
P83436	Q9UP83	1
Q96HW7	Q5TA45	1
Q03164	Q9NXF1	1
Q16576	Q9UBB5	1
Q6IEG0	Q8N8D1	1
O75175	Q96LI5	1
Q13547	Q92618	1
Q9BUE0	Q9UHV7	1
Q9BV90	P62316	1
Q9BWT6	Q9P2W1	1
Q16181	Q92599	1
O00268	P21675	1
P53803	P36954	1
P20248	P14635	1
P30279	Q00534	1
P17568	O95178	1
O60231	P26368	1
Q96H22	Q8N0S6	1
Q96SB4	Q9NR30	1
O14929	P54198	1
Q6P2Q9	Q13435	1
Q9UHA3	P18124	1
Q13347	O15371	1
Q13112	Q9Y294	1
P42224	P52630	1
Q9NVP2	P68431	1
P49711	P06748	1
P56385	P30049	1
O75461	Q9HCK8	1
Q9UBW7	O75362	1
P60709	Q12965	1
Q9NS73	Q8IYH5	1
Q86UW6	O15550	1
Q15291	Q14686	1
Q08945	P07910	1
P52294	O00505	1
Q9ULK4	Q96HR3	1
P56381	O75964	1
O75438	O95178	1
Q9Y230	Q6P4R8	1
Q96EL3	Q9NQ50	1
Q13247	P26368	1
Q9UNP9	Q07955	1
Q9UKL0	Q92618	1
O43920	O43678	1
Q13112	P49321	1
P36578	P46778	1
P47756	P52907	1
P62750	P61353	1
Q92572	O00203	1
O15372	O15371	1
P61247	Q02543	1
P16104	P12956	1
O95400	Q15428	1
P08621	Q9BUQ8	1
Q96EV8	Q9Y2T2	1
P35268	P08865	1
O95168	O75251	1
P20226	O94776	1
Q9Y5B6	Q15459	1
Q99558	O15111	1
O60907	O75376	1
P67809	Q9NZI8	1
O15144	P61160	1
Q9Y4Z0	Q9HCS7	1
Q13503	A0JLT2	1
Q9NP66	Q9UKL0	1
Q96HR3	O95402	1
Q86W42	Q13769	1
P62857	Q02878	1
Q6IEG0	P62314	1
O14791	P02751	1
P22415	Q15853	1
P63208	Q49AN0	1
Q16594	Q12962	1
Q9Y230	Q9UHV9	1
Q9UPZ3	Q86YV9	1
O95059	O75817	1
Q96Q05	O43617	1
P61964	Q92830	1
O00257	P56545	1
P14678	Q6P2Q9	1
Q71F56	Q6P2C8	1
Q15054	P28340	1
O75818	Q99575	1
P60228	Q9Y262	1
P46778	P30050	1
P15880	P26373	1
Q8TAA9	Q14160	1
Q9UHV7	Q71SY5	1
Q9Y4Z0	Q53GS9	1
Q13111	Q8TEX9	1
P49336	Q9UHV7	1
Q9NUS5	Q9H0R1	1
P62875	Q9H9Y6	1
Q641Q2	Q5T1M5	1
O95168	P17568	1
Q01658	Q9ULM3	1
P07814	O43324	1
Q00839	P67809	1
O14929	Q09028	1
Q15291	Q9UPS6	1
P57678	Q86TM6	1
Q6ZW49	P49959	1
P46778	P26373	1
Q9NW64	Q96DF8	1
Q9Y3C6	Q9ULR0	1
Q9NRR6	Q92834	1
Q96FC9	O75717	1
P62753	O95793	1
Q16540	Q9H2W6	1
Q07955	P62314	1
Q07020	P26373	1
P09669	P00414	1
Q9UKF6	P26368	1
Q9Y6K9	O15446	1
Q86TS9	Q9H9J2	1
Q9HAU4	P84022	1
