Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
P82930;Q9Y3D5;P82664;Q9Y399;Q9Y2R5;P82932;Q9Y2Q9;P82650;P82921;P82912;O60783;Q9Y2R9;Q9NVS2;P82673;Q96EL2;O15235;Q9Y3D3;Q9Y291;P82933;P82675;Q9Y6G3;Q9NRX2;Q9BYC9;Q9NX20;Q96A35;Q9BYD6;Q9P015;Q96GC5;Q16540;P82663;Q8TCC3;Q5T653;Q96DV4;Q7Z2W9;Q9BQ48;Q9BYD3;Q9NWU5;Q9HD33;P09001;Q9Y3B7;Q9BYD2;Q7Z7F7;O75394;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q6P161;Q8N983;Q9BZE1;Q9NZE8;Q6P1L8;Q8IXM3;Q9BYC8;Q9P0M9;Q4U2R6;Q9NP92;Q86TS9;Q7Z7H8;Q9BRJ2;Q9BQC6;Q9H2W6;Q13084;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0416666666667
P62266;P30050;P46778;P49207;Q02543;P62910;P46776;P83731;Q9Y3U8;P50914;P18077;P32969;P05386;P61353;P18124;P05387;P61254;P61513;P62424;P61313;P46777;P62277;P62854;P62847;P08708;P46782;P62263;P84098;P62241;Q02878;P36578;P05388;P26373;P46781;P39019;P62750;P62249;P62269;P61247;P15880;P62753;P23396;P60866;P62841;P62851;P62244;P46783	1	0.0212765957447
P34932;Q9UL15	1	0.5
Q969Q5;P20340;P62820;Q9H0U4;P50395;P61026;Q9H0N0;Q6IQ22;P51149;P31150;P51148;Q9UL26;P61018;Q8WUD1;Q9BZG1	4	0.266666666667
Q641Q2;P47756;P52907;Q2M389	1	0.25
A0AV96;Q8TD10;Q96BR9	1	0.333333333333
O00767;Q99442;Q643R3;P35610;Q86UL3;O60725;P37268;Q4ZIN3;P04844;Q53EU6;Q8NBM4;Q8NHH9;O95674;Q92903;Q92604;Q96AA3;P38435;Q9BVG9;Q6P1A2;Q8TEQ8;Q7Z2K6;Q9Y5Q0;Q86SK9;Q15800;Q6DD88;Q8TCJ2;Q96A33	3	0.111111111111
Q8N4W6;Q9H330;Q2PZI1;Q96AA3	1	0.25
Q8NDZ6;Q9H1X3;O95870;Q9H330;P38435;Q96MH6;Q9GZU3;Q643R3;Q8TEQ8;Q8NHH9;Q86UL3;Q6P1A2;O75845;Q96MV1;Q8IXU6;Q6UWP7	3	0.1875
Q15800;Q06136;Q2TAA5;Q4ZIN3;P37268;Q8NBM4;O60725;Q8NHH9;O95674;Q53EU6;Q92903;Q6DD88;Q643R3;O75352;Q96G23;Q8N0U8;Q86UL3;Q92604;Q96AA3;O14681;Q9BVG9;Q6P1A2;Q8TEQ8;Q7Z2K6;Q96N66;P04035;Q9H6H4;Q6ZMG9;O14880	3	0.103448275862
Q9H1C3;A0PJZ3;Q4G148;O43529;Q86SF2;Q10469;Q96MM7;Q9P2E5;Q96EU7;Q11206;Q09328	2	0.181818181818
P38606;P15313;P36543;P21281;Q96A05;O75348	1	0.166666666667
Q2T9J0;O15228	1	0.5
P08648;P21980;P05556	1	0.333333333333
Q9ULR5;Q9BPZ3;Q13310;Q4VXU2;P11940;Q9H074	2	0.333333333333
P78395;Q13617	1	0.5
P17980;O00487;Q15008;Q9UNM6;P51665;O00232;O43242;P48556;O00231;P20618;Q99436;P28066;P25787;Q13200;P62191;P49721;P49720;P28070;P28072;P28074;P28065;P40306;P25788;P62195;P25789;P60900;Q06323;O14818;P25786;Q8TAA3;P43686;P35998	1	0.03125
Q9H330;A0PJW6;Q8NC44;Q96MH6;Q8NDZ6;Q9NX61;Q5U3C3;Q96AA3;Q9H7F0;Q96B77;Q5T1Q4;Q96MV1;Q8IXU6;Q643R3;Q7Z2K6;Q8WV83;Q6P1A2;Q9H6A9;Q68DH5;O75845;Q86UL3;Q96G23;Q6ZMG9;Q00765;Q2PZI1;Q86VR2;Q9HD45;Q2TAA5;P35610;Q8TEQ8;P53794;Q7Z388;Q9BVG9;Q96N66	7	0.205882352941
Q13562;P15923;Q99081	1	0.333333333333
A3KN83;Q96PZ0	1	0.5
Q7Z3K6;Q8N344;Q92769;Q13547;Q8N108	1	0.2
Q76KP1;Q6L9W6;Q70JA7;Q9UBX8;P52849;P52848;Q8N428;Q8TE99;O94923;Q8NCL4;Q9P2E5;Q495W5;Q5VSG8;O60512;Q9UBV7;Q8IXK2;O60704;O43529;Q8N3Y3;Q86SF2;Q86X52;P26572;Q9H1C3;Q11206;O60507;Q9NY97;Q9H4F1	1	0.037037037037
P17026;Q7L3S4;P49711;Q9H116;O43167;Q9HBE1;Q2TB10;Q5SVQ8;P57071;Q9H5H4;Q96ME7;Q9UEG4;Q8NB50;O95625;Q96MX3;Q96PQ6;Q9UII5;P59923;Q9NQV6;Q8TF39;Q15776;Q6NSZ9;Q99676;Q96K58;Q9P2J8;Q6IQ21;Q08AN1;Q96CS4;P58317;Q3KP31;Q9ULD5;Q03936;Q6ZN06;P17019;Q96IR2;A8MTY0;P52746;Q6PCB5;Q6ZN55;Q14593;Q5VWQ0;Q9H7N4;A2RRD8;Q7Z2T5;Q659C4;Q96PV6;Q03701;Q13206	1	0.0208333333333
O43157;Q96F46	1	0.5
Q8N5B7;Q643R3;Q53EU6;P35610;Q2TAA5;Q92903;Q8NHH9;Q6DD88;Q86UL3;Q96G23;Q96AA3;Q7Z7B1;Q5BKT4;Q9BVK2;Q9H6H4;Q7Z2K6;Q6P1A2;Q6ZMG9;Q6UWP7;Q8TEQ8;O75845	4	0.190476190476
Q9UIL1;Q96CN9	1	0.5
P61916;P17900	1	0.5
P51798;Q9UBU6	1	0.5
Q9NWH2;Q6ZT21;Q9Y672;Q2PZI1;Q96B77;Q96MV1;Q68DH5;Q8WV83;Q6P1A2;Q6N075;Q96N66	1	0.0909090909091
O75489;P56556;O95139;Q86Y39;O95182;O15239;O96000;O43678;P49821;Q16718;O75438;P03891;O95178;P17568;P19404;P51970;Q9NX14;O75380;O95168;Q9Y6M9;O43920;P03897;O43181;P56181;P28331;O75306;O14561;Q9UI09;O95299;O95167;Q8N183;O00217;O75251	2	0.0606060606061
Q15370;Q96DX5;Q15369	2	0.666666666667
Q92769;P51946;P50613;Q13330	1	0.25
Q6XD76;P15923;Q99081	1	0.333333333333
Q9Y2R5;O15235;P82932;O60783;P82650;P82930;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0434782608696
Q8TD46;P15151	1	0.5
Q6IC98;Q9BVK2;Q7Z7B1	1	0.333333333333
Q9NPR9;Q96MH6;A0PJW6;Q5SWX8;Q00765;Q9NX61;Q96B77;Q9H7F0	2	0.25
Q66GS9;Q9P2S5	1	0.5
Q96DZ1;Q13438;Q9Y385;Q86TM6;Q9UBV2	2	0.4
Q6NVV3;Q96AN5;O14683;Q96KA5;Q8NBP5;Q9NRC1;Q6UWJ1;Q9H330;Q96AA3;Q6N075;Q68DH5;Q9H7F0;Q9HD20;Q8WV83;Q96MV1;Q7Z2K6	2	0.125
Q9Y672;Q9BRB3;Q9BU23;Q7Z7B1;Q9BVK2;Q5BKT4;Q9UKY4;P35610;Q7Z2K6;Q6P1A2;Q9BV10;Q92903;Q6ZMG9	2	0.153846153846
Q9Y3U8;P46779;P49207;Q02543;P46776;P50914;P62910;P62899;P18077;P05386;P62888;P61353;P05387;P32969;P46778;P30050;P62917;P83731;P62906;P61254;P18124;P61513;Q07020;P61313;P62424;P62913;P84098;P62854;P40429;P46777;Q02878;P62277;P62263;P08708;P62847;P46782;P62241;P36578;P05388;P62249;P62269;P62750;P26373;P46781;P39019;P39023;P60866;P61247;P62851;P62266;P23396;P15880;P62841;P62753	1	0.0185185185185
Q96DP5;Q5TC12;Q8NFV4;Q7L3T8;Q15031;Q96CM8;Q5JPH6;Q99797;P22033;Q96RP9;Q5T160;Q9NSE4;Q9NVH6;P27144;P42765;P05166;Q969S9;P26440;P12694;Q9ULD0;Q4G176;O14874;Q8N465;P05165;P51553;Q6JQN1;Q96CB9;Q969Z0;Q6PI48;Q9UL12;P43897;O75127;Q9Y606;Q6UB35;Q96I59;P11498;Q9Y2Z4;Q9BW92;Q7Z3D6;P22830;P30038;O75616;Q96RQ3;A6NJ78	3	0.0681818181818
P56199;P05556	1	0.5
P23142;Q9UBX5	1	0.5
