Complexes(UniProt IDs)	virus-related-protein	Percentage(|virus-related-protein| / |complex|)
Q9H0V1;Q8TDW4;Q9H330;A0PJW6;Q96MH6;Q12767;Q2PZI1;Q9H7F0;P81408;Q9HD20;Q7Z2K6;Q9H6A9;Q8TEQ8;Q8WV83;O75911;Q643R3	4	0.25
Q5VSG8;P52849;Q9UBX8;Q70JA7;P52848;Q8TE99;Q8N428;Q8NCL4;O94923;Q8N3Y3;O43529;Q9P2E5;Q9H1C3;Q86SF2;O60704;P26572;Q8IXK2;O60513;Q6P9A2;O60507;Q9UBV7;Q86X52;O60512;Q11206;Q10469;Q8IUC8;Q9NY97;Q92187;P49641;Q7LGC8;Q96MM7;Q9NS84;Q9H4F1;Q8NDV1;Q9Y274;Q96EU7;Q8NCH0;Q09328;P33908	2	0.0512820512821
P16619;P14735	1	0.5
Q15041;Q2TAA5;Q6UWP7;Q6ZMG9;Q99442	1	0.2
Q8NBT0;O43303;O95684;Q9H6D7	1	0.25
Q9UBP4;P58166	1	0.5
P25116;P55085	1	0.5
Q9Y3B3;P49755;Q15363;Q9BVK6;Q9Y3Q3;Q9Y3A6	1	0.166666666667
A0PJZ3;Q4G148;Q9H1C3;O43529;Q6PIU2;Q96MM7	1	0.166666666667
Q16842;Q76KP1;Q70JA7;P52849;P52848;Q8TE99;Q8N428;O94923;Q6L9W6;Q9P2E5;Q495W5;O60512;Q5VSG8;Q8IXK2;Q86X52;O43529;O60704;Q86SF2;Q8N3Y3;P26572;Q11206;Q9H4F1;O60507	1	0.0434782608696
Q5VV42;Q643R3;Q99943;O95674;P37268;Q2TAA5;Q53EU6;Q8NBM4;Q92604;Q86UL3;P38435;Q8N0U8;Q9BVG9;Q7Z2K6;O14880;Q96N66;Q9HD20	3	0.176470588235
Q8N539;Q9Y673	1	0.5
Q9Y2X3;P22087;O00567;O43818	1	0.25
P49643;P49005;P28340	1	0.333333333333
Q6UWV6;Q96F46	1	0.5
O76094;Q9UHB9	1	0.5
O43854;Q08431	1	0.5
Q96T52;Q9H3K2	1	0.5
Q92737;P61224;P61586	1	0.333333333333
Q53FZ2;Q6P087;Q9BW92;Q7L3T8	1	0.25
Q9NRZ9;Q13206	1	0.5
Q8N428;O94923;Q6P9A2;Q8TE99;Q5VSG8;Q8IXK2;Q8NCL4;O60704;Q8N3Y3;P49641;Q86SF2;O60512;Q9UBV7;P52848;Q9UBX8;O60513;Q70JA7;O43286;Q86X52;Q9P2E5;P26572;Q9NS84;Q9Y278	1	0.0434782608696
P58557;Q7L2J0	1	0.5
Q8N3Z3;Q9HAC7;Q9NX20;Q9BYD6;Q96A35;Q9NRX2;Q9P015;P09001;Q9BRJ2;Q9NWU5;Q6P1L8;Q9BYC8;Q9BYD2;Q9Y3B7;Q7Z7F7;P49406;Q9BQC6;Q9BYC9;Q9HD33;Q14197;Q8IXM3;Q9H2W6;Q9P0M9;Q9NZE8;Q9NP92;Q5T653;Q96GC5;Q9H0U6;Q4U2R6;Q13084;Q9BYD1;Q9NVS2;Q9Y6G3;Q9Y291;P82921;P82664;Q9NQ50;O60783;Q9Y399;P82650;Q9Y3D3;Q96EL2;P82673;P82675;Q9Y3D9;Q9Y2Q9;Q9H9J2;Q8NE62	2	0.0416666666667
O15440;P33527	1	0.5
F5H871;Q2M389;Q9Y3C0;Q12768	1	0.25
Q8N8Q9;Q96KA5;Q9NRC1;O14683;Q8NBP5;Q6NVV3;Q6UWJ1;Q96AN5;Q9H330;Q6N075;Q68DH5;Q96AA3;Q8WV83;Q96MV1;Q9HD20;Q9H7F0	1	0.0625
P05026;P05023;P50993	1	0.333333333333
Q96K30;O95684	1	0.5
Q13547;Q92769;O75362;Q92618;Q92766;Q9P2K3;Q96BD5;Q9UKL0	1	0.125
P02745;P28300	1	0.5
Q7Z3B4;Q9BVL2	2	1.0
Q9H269;Q96JC1;Q9H270;Q96AX1;Q9P253	2	0.4
Q9NX61;Q8NE01;Q5SWX8;Q96KA5;P38435;Q96B77;Q9UBU6;Q7Z2K6;Q9BVG9	3	0.333333333333
O15438;Q9NRC1;A0PJW6;Q8NE00;Q9GZU3;Q9HD45;Q5J8M3;Q9Y672;Q9BU23;Q5T4D3;Q9P0S9;Q2PZI1;Q96AA3;Q68DH5;Q96B77;Q96MV1;Q7Z2K6;Q6P1A2;P35610;Q96N66;P49069;P53794	3	0.136363636364
Q9BUW7;Q9Y5J6	1	0.5
Q92913;Q8NEJ9	1	0.5
O00592;O14745	1	0.5
P00387;Q9BRR6	1	0.5
Q92572;B7ZKR7;Q9Y2T2;O00203;O14617	1	0.2
Q9Y2H9;Q9P0L2;Q6P0Q8	1	0.333333333333
Q08378;Q15751	1	0.5
Q86SR1;P52849;Q70JA7;Q9UBX8;O60513;P52848;Q92187;Q8TE99;Q8NCL4;Q6P9A2;O94923;O43529;Q10469;Q8N3Y3;P49641;Q86SF2;Q9P2E5;Q8IXK2;Q9NY97;Q11206;O60507;O60512;P26572;Q86X52;Q96MM7;Q9H4F1;Q9Y274;Q8NCH0;Q96EU7;Q8NDV1;Q09328	2	0.0645161290323
Q00994;Q9UK73;Q6UUV7;Q99856	1	0.25
Q17RN3;Q8NCA5	1	0.5
P61026;Q6IQ22;Q9BZG1;P20340;Q8WUD1;Q9UL26;P51149;P61018;Q969Q5	2	0.222222222222
O75845;Q9UBU6;Q06136;Q2TAA5;P38435;Q6UW68;Q96AA3;Q9NX61;Q8NC44;Q9HD45;Q9HD20;Q9BVG9;Q96N66;Q6P1A2;Q86UL3;Q7Z2K6;Q96MV1;Q9H6A9;Q96B77	4	0.210526315789
Q93063;Q13724	1	0.5
Q8NBX0;Q8NBM8	1	0.5
Q14181;P49643;P09884;P49642	4	1.0
Q92618;O75362;P56545;Q92766;Q9Y232;Q9P2K3;Q92769;Q13547;Q96KQ7;Q9H9B1;Q9UKL0	1	0.0909090909091
Q9NXK8;Q7Z6M2;Q9UK97;Q96IG2;Q9UKC9;Q9NRD1;Q9H4M3;Q96EF6;Q9UKT7;Q96CD0;Q8N531;Q5XUX0;Q9H469;Q8N461;P63208;P57775;Q9UKT5;Q13616;Q969U6;Q9UKA2;Q9UKT8	1	0.047619047619
Q9H7F0;Q8TDW4;A0PJW6;Q96AN5;Q8NDZ6;Q9NRC1;Q5U3C3;Q9GZU3;Q96MH6;Q5T1Q4;Q2PZI1;Q96B77;Q68DH5;Q8WV83;Q8IXU6;Q96MV1;Q9H6A9;Q86VR2;Q6P1A2;Q8TEQ8;Q7Z2K6;P81408;P53794;Q8NBP5;Q7Z388;P35610;Q12767;Q9BRB3;Q643R3;Q96G23;Q6ZMG9;Q86UL3;Q9H6U8;Q6ZXV5;Q2TAA5;Q9NUE0;Q8NCS7;Q6UWP7	7	0.184210526316
P10644;P13861;P17612	2	0.666666666667
Q96D53;O60313	1	0.5
O00124;B0YJ81;Q92685;Q9NXB9;Q9UPQ8;Q6Y1H2	1	0.166666666667
Q96EL3;O75394;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82664;Q9NQ50;Q9H9J2;Q96EL2	1	0.0181818181818
Q9NTJ5;Q4ZIN3;P37268;Q92903;Q53EU6;Q8N0U8;P35610;Q2TAA5;Q86UL3;O95674;Q643R3;Q96G23;Q6ZMG9;Q5BKT4	1	0.0714285714286
Q00266;P31153;Q9NZL9	1	0.333333333333
P20839;P12268	1	0.5
Q9H173;P20933	1	0.5
Q6NXT4;Q8WUD6	1	0.5
Q9UHX1;Q9NXH9	1	0.5
P08476;Q9H4F8	1	0.5
Q9NQV5;Q8TD19	1	0.5
Q8N5Y8;Q00765	1	0.5
P46934;Q2M389	1	0.5
Q6TCH7;Q6NXT4	1	0.5
Q9NS00;Q9Y278;P52848;Q8N428;Q6P9A2;Q8NCL4;Q9UBX8;O94923;O43286;Q8N3Y3;Q86SF2;P26572;Q9UBV7;Q8TE99;O60513;Q70JA7;O60512;Q9P2E5;Q86X52;Q5VSG8;O60704;Q9H1C3	1	0.0454545454545
Q9H040;O60885	1	0.5
Q8IZT9;Q8TD10	1	0.5
Q8TEP8;O43303;Q8NBT0;Q9H6D7;O95684	1	0.2
Q92900;Q8IZH2;O95453	1	0.333333333333
Q9H4F1;P52848;Q7LGC8;O94923;Q6P9A2;Q8NCL4;P49641;Q8NCH0;Q8IXK2;Q8N3Y3;P52849;Q9NY97;Q8TE99;Q70JA7;P26572;Q9Y274;Q96MM7;O43529;Q9UBX8;Q5VSG8;Q9NS84;O60704;Q86SF2;Q9P2E5;Q8N428;O60512;Q9UBV7;Q8NDV1;Q10469;Q96EU7;O60507;Q11206;Q86SR1;Q86X52;Q09328;Q9H1C3	2	0.0555555555556
P62745;P61586	1	0.5
P63010;O95782;O94973;P53680	1	0.25
Q8IUS5;Q9UJ14;Q7LGA3;Q96MM7	2	0.5
Q9NRX5;Q9H1X3;O95870;P38435;Q8NDZ6;Q9H330;Q96MH6;Q9GZU3;Q8TEQ8;Q6P1A2;Q86UL3;O75845;Q8IXU6;Q96MV1;Q68DH5;O95427;O75915;Q96B77	3	0.166666666667
Q969X6;O00566	1	0.5
P12109;P12110;P12111;Q99715	1	0.25
Q5SWX8;Q96SK2;Q6UW68;Q9NX61;Q2PZI1;Q9UBU6;Q96K37;P38435	3	0.375
Q8IWJ2;Q13439	1	0.5
P08865;P61254;P62906;P62249;P62913;P18077;P62888;P05387;P62241;P62263;P50914;P62277;P62917;P18124;P40429;P84098;P62910;Q02543;P46779;P46776;Q9Y3U8;P62899;Q07020;P05386;P32969;P61313;P62750;P62424;P49207;P61353;P62854;Q02878;P62847;P61513;P46782;P62269;P39019;P36578;P05388;P46781;P26373;P08708;P60866;P62851;P15880;P23396;P61247;P62841;P42766;P62753;P62266;P39023;P62244;P46783	1	0.0185185185185
Q9BVG9;A0PJW6;Q9H330;Q8NDZ6;Q96MH6;Q96AA3;Q9NX61;Q643R3;P35610;Q8TEQ8;Q6P1A2;Q86UL3;Q7Z2K6;Q96G23;Q6ZMG9;Q96B77;Q2PZI1;Q9H6A9;Q9H7F0;Q9HD45;Q5U3C3;Q2TAA5;Q00765;Q96MV1;Q8IXU6;Q96N66;O75845;Q86VR2;Q68DH5;Q9HD20;Q06136;Q8NC44;P53794	7	0.212121212121
Q9BVS5;Q13825;P42765;Q96GW9;Q96CM8;Q96RP9;O14874;Q16740;Q8WVM0;P51553;Q4G176;Q15031;Q7L592;Q6JQN1;Q96CB9;O95900;Q9NUB1;Q8TD30;Q6P087;Q9H649;Q9NSE4;Q9UI43;P22570;Q6PI48;Q969S9;Q99797;Q9Y606;P22830	1	0.0357142857143
Q11206;Q86X52;Q09328;P33908;Q9P2E5;Q9H1C3;Q10469;P52849;O43529;Q8IUC8;P52848;Q6P9A2;O94923;Q70JA7;Q8TE99;O60513;Q8NCL4;O60507;Q86SF2;Q5VSG8;Q8N3Y3;Q8IXK2;O60704;Q92187;Q9NY97;Q9UBV7;O60512;P49641;Q96MM7;Q93063;P26572;Q9Y274;Q96EU7;Q7LGC8;Q8N428;Q9H4F1;Q9NS84;Q8NCH0;Q8NDV1;Q9BYC5	2	0.05
Q9H8H3;P00387	1	0.5
P51148;P61020	1	0.5
Q5JTV8;P17098	1	0.5
P62280;P62910;P49207;P46778;P30050;Q9Y3U8;P18077;P83731;P62266;P46776;P32969;P61353;P05386;P18124;P05387;P61313;P46777;P62277;P62847;P62854;Q02878;P36578;P26373;P05388	1	0.0416666666667
Q92903;P37268;Q53EU6;P04035;Q4ZIN3;Q8NBM4;Q2TAA5;Q643R3;Q8N0U8;Q8NHH9;O95674;O60725;Q06136;Q86UL3;Q96G23;Q6DD88;Q92604;O14681;O75352;Q96AA3;Q9BVG9;Q15800;Q6P1A2;Q7Z2K6;Q8TEQ8;Q96N66	3	0.115384615385
Q86Y39;O75438;O96000;O95182;P56556;O15239;Q16718;O43678;P49821;P03891;P17568;P19404;O95139;Q9NX14;O95168;Q9Y6M9;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O00217;O75251	1	0.0384615384615
P05166;Q96RQ3;Q9NSE4;P05165;Q9Y375;Q9NP81;Q7L3T8;Q5JRX3;Q96RP9;Q5JPH6;Q15031;Q96CM8;Q9NVH6;Q4G176;Q9BW92;P22033;P12694;O14874;P26440;Q6JQN1;Q99797;Q5T160;Q7Z3D6;Q8N465;Q96CB9;Q969S9;Q9ULD0;Q6PI48;Q9UL12;P30038;P27144;P42765;Q969Z0;Q6UB35;Q9Y606;P51553;A6NJ78;Q96I59;P43897;P22830;O75127;Q96DP5;Q5TC12;Q8NFV4;O75616;Q9Y2Z4;P11498;O94925;Q9BXW7;Q96GW9;O95299;Q9H4K7;Q9Y2Z2;Q8N442;Q16740;Q5JTZ9;Q9UI43;Q6P087;Q7L592;Q9HA92;Q9BQ52;P13196	5	0.0806451612903
Q7L3V2;Q13546	1	0.5
Q96EU7;Q14435;Q86SF2;P26572;Q9NS00;Q8N428;Q9Y2C2;P52848;Q8NCL4;Q96MM7;Q9H4F1	1	0.0909090909091
P61586;P84095	1	0.5
Q9BQQ3;Q08379	2	1.0
P26038;P35241	1	0.5
Q5VUA4;Q9NRG4	1	0.5
Q12893;Q6NXT4;Q9BRR3	1	0.333333333333
O75676;Q8TD19	1	0.5
P46779;P49207;Q02543;P46776;P50914;P62910;P62899;P18077;Q9Y3U8;P05386;P62888;P61353;P05387;P32969;P62917;P61254;P61513;P62906;P18124;P84098;P62424;P61313;Q07020;P62750;P62913;P46777;P62854;P62263;P40429;P62277;Q02878;P62249;P62847;P42766;P62269;P36578;P62241;P46782;P05388;P39019;P26373;P08708;P62851;P60866;P46781;P39023;P15880;P61247;P23396;P62841;P62753;P08865	1	0.0192307692308
Q86UL3;Q96G23;Q06136;Q53EU6;Q4ZIN3;Q8N0U8;Q8NBM4;O14681;Q96AA3;Q9BVG9;Q7Z2K6;Q15800;Q96N66;P37268;O75352;O95674;Q92604;Q6P1A2;Q8TEQ8;Q6DD88;O60725	2	0.0952380952381
Q9NZZ3;Q9NP79;O43633	1	0.333333333333
A0A087WSW0;Q08117	1	0.5
Q6IQ21;Q9UII5;Q8NB50;Q96MX3;Q6ZN55;Q9UEG4;P57071;O15015;Q96ME7;Q08AN1;Q9P2J8;Q99676;Q9NSD4;P49711;Q9UC06;Q96PQ6;O75820;Q96K58;Q96CS4;Q9H5H4;Q6NSZ9;O43167;Q15776;P17026;P59923;Q96JP5;Q9H116;P58317;Q03936;P17097;Q9ULD5;Q8TF39;Q9NQV6;Q9HBE1;A6NFI3;A8MTY0;Q7Z2T5;Q6PCB5;Q3KP31;Q659C4;Q5VWQ0;P0CJ78;O95625;Q7L3S4;Q96IR2;Q14593;Q03701;Q9H8G1;Q9H7N4;Q13206;Q66K89;Q96PV6	1	0.0192307692308
O95684;Q96JN8	1	0.5
Q6ICH7;Q9Y673;A0PJZ3;Q96MM7	2	0.5
P56277;P55789	1	0.5
Q13443;Q92692	1	0.5
O14793;Q99988	1	0.5
Q86VM9;Q15750	1	0.5
Q8IWA5;Q5T3U5	1	0.5
O95613;Q9BSJ2;Q96CW5	3	1.0
Q96IV0;P11172	1	0.5
Q96DA6;Q9Y6N1	1	0.5
P51151;P61106	1	0.5
P35555;P35556	2	1.0
P13612;P05556	1	0.5
Q6BCY4;P09601	1	0.5
O15235;Q9Y2R5;P82932;O60783;P82650;P82930;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q5T653;Q9BYD3;Q9HD33;P09001;Q7Z7F7;Q9BYD2;Q9Y3B7;Q9NZE8;Q9NYK5;Q9NP92;Q9BZE1;Q9BQC6;Q8IXM3;Q8N983;Q86TS9;Q13084;Q9H2W6;Q9Y3D9;Q14197;Q9NQ50	3	0.06
Q9Y2R5;P82932;P82930;Q9Y399;Q9Y2Q9;P82650;O60783;P82664;O15235;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q9BQC6;Q13084;Q7Z7H8;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3	0.0434782608696
P12109;P12110	1	0.5
P49207;P46779;Q02543;P46776;P50914;P62910;P62899;P18077;Q9Y3U8;P05386;P62888;P61353;P05387;P32969;P46778;P30050;P62917;P83731;P61254;P61513;P18124;Q07020;P62424;P61313;P62913;P62854;P46777;P40429;P62277;Q02878;P62847;P62263;P62241;P36578;P46782;P62750;P05388;P62249;P26373;P62269;P08708;P39019;P46781;P39023;P61247;P62851;P60866;P62266;P15880;P62753;P23396;P62841	1	0.0192307692308
Q16401;P48556;P55036;O00487;Q15008;O43242;Q9UNM6;Q99460;P62191;O00231;P51665;Q13200;O00232;P43686;Q16186;P17980;P62195;P35998;P25787	1	0.0526315789474
Q8N4A0;Q8NCH0;Q86SF2;Q96EU7;P26572;Q96MM7;P49641;Q8N428;O43529;O94923;P52849;Q9H4F1;P52848;Q8TE99;Q8IXK2;Q5VSG8;Q70JA7;Q7LGC8;O60704;Q9NS84;Q16842;Q8N3Y3;Q8NDV1;Q9P2E5;O60512;Q9UBV7;Q8WZA1;O60507;Q86X52	2	0.0689655172414
P62913;P46779;P49207;Q02543;P50914;P62910;P46776;P62899;P18077;Q9Y3U8;P05386;P62888;P61353;P05387;P32969;P46778;P30050;P62917;P83731;P62906;P61254;P18124;P61513;Q07020;P61313;P62424;P84098;P62854;P40429;P46777;Q02878;P62277;P62263;P08708;P62847;P46782;P62241;P36578;P05388;P62249;P42766;P62750;P62269;P26373;P39019;P46781;P39023;P60866;P62851;P61247;P15880;P62841;P23396;P62753	1	0.0185185185185
P82921;P82912;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;Q9Y3D5;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0441176470588
P13196;Q02252;Q6PI48;Q9Y606;P43897;Q96I59;Q5JPH6;P22033;Q15031;Q969S9;Q96CM8;Q99797;Q4G176;Q9NVH6;P27144;Q8N465;P12694;Q5T160;O14874;Q969Z0;Q9BW92;P30038;Q7Z3D6;P26440;P51553;Q6JQN1;P05166;A6NJ78;P05165;Q96CB9;O75127;Q9UL12;Q9H3H1;O95900;Q6UB35;O95363;P11498;Q6P587;Q5TC12;Q9Y2Z4;P22830;O95299;O75616;Q9UI43;Q05932;Q6P087;Q96GW9;Q9H4K7;Q14197;Q8N442;Q9Y375;Q8NFV4;O94925;P11182;P49590;Q9BXW7;Q9Y2Z2;Q5JTZ9	4	0.0689655172414
P23409;P15923;Q99081	1	0.333333333333
Q8IWR0;A0AV96	1	0.5
Q5TAB7;Q08117	1	0.5
P10644;P13861	1	0.5
O43181;Q9Y6M9;O43674;O75380;O43676;O95169	1	0.166666666667
Q8NDV1;Q92187;Q9Y274;Q8NCH0;P49641;Q8TE99;O94923;Q9UBX8;O60704;Q96MM7;P26572;P52849;P52848;Q6P9A2;O60513;Q7LGC8;Q70JA7;Q8NCL4;O43529;Q9NY97;Q9UBV7;Q5VSG8;Q9NS84;Q8N3Y3;Q86SF2;Q8IXK2;Q8N428;Q9H4F1;O60512;Q9P2E5;Q10469;Q8IUC8;Q11206;Q86X52;O60507;Q86SR1;Q96EU7;Q09328;Q9H1C3;Q16394;P33908;Q9BYC5;Q93063	2	0.046511627907
Q9BSY9;Q8N0X7	1	0.5
Q8TAD8;Q9UBC1	1	0.5
Q8WUH2;Q96AX1;Q9H270;Q8N3P4;Q9H269;Q9P253	1	0.166666666667
Q8NFV4;Q5TC12;Q96DP5;Q9BXW7;Q7L3T8;Q5JTZ9;Q9Y2Z2;Q9HA92;Q15031;Q96CM8;Q5JPH6;Q99797;P22033;Q96RP9;Q5T160;Q9NSE4;Q9NVH6;P27144;P42765;P05166;Q969S9;P26440;P12694;Q9ULD0;Q4G176;O14874;Q8N465;P05165;P51553;Q6JQN1;Q96CB9;Q969Z0;Q6PI48;Q9UL12;P43897;O75127;Q9Y606;Q6UB35;Q96I59;P11498;Q9Y2Z4;Q96GW9;Q9BW92;P22830;Q7Z3D6;Q9H3H1;P30038;Q02252;O75616;A6NJ78;Q9UI43;O95299;Q9H4K7;O95900;O95363;Q8N442;O94925;P13196;Q9Y375;Q96RQ3;Q6P087;Q05932;Q14197;Q6P587;Q16740;Q7L592;P11182;P49590	4	0.0588235294118
Q7L592;Q10713	1	0.5
P27448;Q9P0L2	2	1.0
Q96S52;Q969N2;Q92643;O43292;Q9H490	2	0.4
Q8NI37;O14874;Q5JPH6;Q96CM8;Q4G176;Q5T160;Q99797;Q15031;Q9NVH6;Q6JQN1;Q9BW92;P30038;O95900;A6NJ78;Q7Z3D6;Q9UL12;Q02252;Q969Z0;Q9H5Q4	2	0.105263157895
Q9NXV6;Q9H6W3;Q8TDN6;Q8IY37;P46087;Q9NVX2;Q9NVU7;Q9H0U9;Q15572;Q9Y3C1;Q9H7B2;P42696;Q53T94;Q9NQZ2;P17020;O15226;Q6RFH5;Q9GZR2;Q5QJE6;Q14692;Q8IUF8;Q68D10;Q9Y221;Q8IY81;Q9H2G4;Q8N567;Q9H6F5;O95625;Q8TDD1;Q7L3S4;O75683;Q9UGN5;O15381;Q8WTT2;Q9H9L3;Q9UHA3;Q9H116;Q15397	1	0.0263157894737
Q6UB35;Q8NCN5;Q9UL12;Q5JRX3;Q9NP81;Q7L3T8;Q96RP9;O00217;Q9NVH6;Q15031;Q96CM8;P12694;Q6JQN1;Q4G176;Q9BW92;Q9NSE4;P05166;O14874;P05165;Q6PI48;Q96CB9;Q969S9;Q5JPH6;P22033;P26440;Q8N465;Q9Y606;Q5T160;Q99797;Q7Z3D6;Q9ULD0;P27144;P42765;Q969Z0;P30038;Q96I59;P51553;A6NJ78;P22830;P43897;Q96RQ3;O75127;Q96DP5;O95299;O94925;Q96GW9;P11498;Q5TC12;Q9BXW7;Q9H3H1;Q8NFV4;Q9Y2Z2;Q5JTZ9;Q02252;Q9Y2Z4;O75616;Q9H4K7;Q9Y375;Q8N442;O95900;Q6P087;P13196;O95363;Q9UI43;Q9HA92;Q7L592;P11182;Q14197;Q6P587;Q05932;P49590;O15091;Q9BQ52	5	0.0684931506849
P21964;F6XHT0	1	0.5
Q6Y7W6;P30566	1	0.5
P32969;P46776;P46778;Q02543;P62910;P30050;P50914;P62899;P18077;Q9Y3U8;P05386;P83731;P62906;P62888;P62917;P61353;P05387;P18124;Q07020;P61254;P49207;P40429;P61513;P61313;P62913;P62424;P62854;P84098;P62277;Q02878;P46779;P62263;P46777;P08708;P62847;P46782;P62241;P05388;P36578;P26373;P46781;P39019;P62750;P42766;P39023	1	0.0222222222222
Q4G0N4;P13804;P38117;Q6IPR1	1	0.25
P00167;P16435	1	0.5
Q9Y3D3;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0454545454545
P61978;P11940	1	0.5
Q99720;Q15738	1	0.5
P15923;Q99081	1	0.5
Q9NQZ2;O43818	1	0.5
Q16739;Q9UBU6	1	0.5
Q13595;Q9NW13	1	0.5
P78316;O43818	1	0.5
Q9UKY4;Q9BVK2;P37268;Q6ZMG9;Q7Z2K6;Q9H6U8;Q9BU23;Q8TEQ8	3	0.375
Q01970;O14745	1	0.5
Q86YB8;Q96HE7	1	0.5
Q9NU22;Q14527	1	0.5
Q9Y5L4;Q9Y5J9;O60220	1	0.333333333333
Q10713;O75439	2	1.0
O43663;O75506	1	0.5
Q12841;P58166	1	0.5
P08842;Q2TAA5	1	0.5
Q04725;Q04724	1	0.5
P13196;Q02252;P43897;Q96I59;Q6PI48;O15091;Q9Y606	1	0.142857142857
P10644;P31323	1	0.5
P61106;Q6IQ22	1	0.5
O95202;Q9Y276;O14949	1	0.333333333333
P09110;Q2T9J0	1	0.5
P14314;O14975	1	0.5
Q7Z7L7;Q9C0D3	1	0.5
O75663;Q9BU02	1	0.5
Q5HYI7;Q9NVH1;O75431	1	0.333333333333
Q00613;O75506	1	0.5
Q9UK73;Q6UUV7;O15318;Q00994;Q9Y314	1	0.2
Q9UPY5;Q9UBU6	1	0.5
Q96EV8;Q13367;Q92572;Q9Y2T2;Q8TDH9;O00203;Q9NUP1;O14617	1	0.125
Q969S9;Q96RP9;Q9P2J9;Q9BT30;O00217;Q5JRX3;Q8NCN5;Q96GW9;Q9NSE4;Q7L592;Q15031;Q4G176;Q9NUB1	1	0.0769230769231
Q99942;Q6ZMG9;Q06136;Q86UL3;Q96G23;Q53EU6;Q96AA3;Q7Z2K6;Q9BVG9;Q4ZIN3;O14681;Q8N0U8;Q8NBM4;Q9HD20;Q96N66;Q15800	1	0.0625
O43823;Q99417	1	0.5
O14733;Q8TD19;Q9NWZ5;Q14012	1	0.25
P09497;Q96CW1	1	0.5
Q9H4P4;Q9NWT6	1	0.5
