Complexes(UniProt IDs)	drug-target-protein	Percentage(|drug-target-protein| / |complex|)	
Q9NVH6;Q9NP81;Q7L3T8;O00217;Q5JRX3;Q8NCN5;Q96RP9;P12694;Q15031;Q96CM8;Q9NSE4;Q9BW92;Q4G176;P05166;Q9HCC0;P05165;Q6JQN1;O14874;Q9UL12;Q6PI48;Q96CB9;Q969S9;Q8N465;Q9Y606;Q96I59;Q5JPH6;Q96GW9;Q6UB35;O95299;P22033;Q99797;P26440;Q5T160;P22830;Q7Z3D6;Q9ULD0;P42765;Q969Z0;P30038;P51553;P27144;A6NJ78;Q96RQ3;Q6P087;O75127;O94925;Q9H3H1;O95900;P11498;P43897;Q9Y375;O75616;Q9Y2Z4;Q9H4K7;Q9BXW7;Q5TC12;Q96DP5;Q8NFV4;Q02252;Q9Y2Z2;Q5JTZ9;Q9UI43;O95363;P13196;Q8N442;Q9HA92;Q7L592;Q16740;P11182;Q6P587;O15091;Q9BQ52;Q14197;Q05932;P49590	1	0.0133333333333	
Q14164;Q9UHD2	1	0.5	
B0QYW2;Q96DZ1	1	0.5	
Q9NX02;Q9UHD2	1	0.5	
Q96CU9;Q9Y6M9	1	0.5	
Q13619;P62877	1	0.5	
Q13617;P62877;Q13616;Q13309	2	0.5	
P78406;O14715	1	0.5	
P56556;O95139;O75251;O75489;O15239;O43920;O95182;P49821;P51970;O75306;P28331;P19404;O75438;O96000;P17568;O95168;P03891;Q9Y6M9;O75380;O43678;Q16718;P56181;O43181;Q9NX14;Q86Y39;O14561;Q9UI09;O95299;O95167;O00217	1	0.0333333333333	
Q8N465;Q9H3H1;Q5JPH6;O95363;Q96CM8;Q9NVH6;P22033;Q99797;Q15031;Q969S9;Q02252;P12694;P26440;O14874;Q4G176;P51553;Q969Z0;Q9BW92;P30038;Q7Z3D6;O95900;A6NJ78;Q96CB9;P43897;Q6JQN1;Q6PI48;Q9UL12;Q5T160;Q96RP9;Q7L3T8;P42765;P27144;P05165;O75127;Q6UB35;Q9NSE4;Q9ULD0;Q9Y606;P05166;P22830;Q96I59;P11498;Q5TC12;Q9Y2Z4;Q96DP5;O75616;O95299;Q9H4K7;Q8NFV4;Q9UI43;Q8N442;Q96GW9;Q9BXW7;P13196;O94925;Q5JTZ9;Q9Y2Z2;Q9Y375;Q6P587;Q05932;Q14197;Q96RQ3;Q9HA92;Q16740;P11182;P49590	1	0.0151515151515	
Q9Y680;O95881	1	0.5	
P22033;Q96CM8;Q7L3T8;O14874;Q96RP9;Q969S9;P12694;Q99797;Q5T160;Q9ULD0;Q5JPH6;Q9NVH6;P26440;Q9BW92;Q9NSE4;Q15031;Q4G176;P05166;Q969Z0;P30038;P42765;P27144;Q96CB9;P05165;Q8N465;Q7Z3D6;Q6PI48;Q6JQN1;Q9UL12;P51553;A6NJ78;Q6UB35;P43897;Q9Y606;O75127;Q96DP5;Q96I59;P22830;Q5TC12;Q02252;O95900;Q9H3H1;P11498;Q9Y2Z4;O75616;O95299;Q6P087;Q9H4K7;Q9UI43;O95363;Q8NFV4;O94925;Q8N442;P13196;Q9BXW7;Q5JTZ9;Q9Y375;Q96RQ3;Q9Y2Z2;Q6P587;Q05932;Q14197;Q9HA92;P11182;P49590	1	0.0153846153846	
Q15345;Q9NWZ5;Q9H9A5;Q460N5;O14733;Q8TD19	1	0.166666666667	
P82932;Q9Y2Q9;Q9Y399;Q9Y2R5;P82650;P82930;O60783;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q9BYD3;Q5T653;Q9HD33;P09001;Q7Z7F7;Q9BYD2;Q9Y3B7;Q9NZE8;Q9BYD1;Q9NYK5;Q9BZE1;Q9NP92;Q8IXM3;Q8N983;Q9BQC6;Q86TS9;Q13084;Q9H2W6;Q9Y3D9;Q14197;Q9NQ50	3	0.0576923076923	
Q5T1M5;Q00610	1	0.5	
O95178;O96000;Q16718;P56556;O95182;O43678;O75380;O15239;O75438;P03891;Q9NX14;P17568;O95139;P51970;P49821;P19404;O95168;O43920;P03897;Q9Y6M9;P56181;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O75251;O00217	1	0.0322580645161	
Q96RQ3;P05166;Q9NSE4;P05165;Q9Y375;Q9NP81;Q7L3T8;Q5JRX3;Q96RP9;Q5JPH6;Q15031;Q96CM8;Q9NVH6;Q4G176;Q9BW92;P22033;P12694;O14874;P26440;Q6JQN1;Q99797;Q5T160;Q7Z3D6;Q8N465;Q96CB9;Q969S9;Q9ULD0;Q6PI48;Q9UL12;P30038;P27144;P42765;Q969Z0;Q6UB35;Q9Y606;P51553;A6NJ78;Q96I59;P43897;P22830;O75127;Q96DP5;Q5TC12;Q8NFV4;O75616;Q9Y2Z4;P11498;O94925;Q9BXW7;Q96GW9;O95299;Q9H4K7;O95900;Q6P087;Q16740;Q8N442;Q9UI43;Q9Y2Z2;Q5JTZ9;Q7L592;Q9BQ52;Q9HA92	1	0.0161290322581	
P35243;Q5T1M5	1	0.5	
P49748;P13196;P05166;Q9Y375	1	0.25	
Q8TD19;Q15349;P51812;Q9H7B4;O75676;Q96RR4;O14733;Q9NWZ5;Q96LD4;Q86UV5	1	0.1	
Q9H7Z7;Q07820	1	0.5	
Q15056;Q9NRD5	1	0.5	
P52815;Q6P1L8;Q96EL3;O75394;Q8N983;Q9BQ48;Q13405;Q9NYK5;Q8N5N7;Q9H0U6;Q6P161;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82664;P82930;Q9NQ50;Q96EL2;Q9H9J2;P82673	1	0.0172413793103	
O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82921;Q9Y3D5;P82664;Q9Y2R9;Q9NQ50;Q96EL2;P82912;Q9H9J2;P82673;P82675	2	0.0327868852459	
O75616;Q9NSE4;Q9Y375;P05166;P05165;Q7L3T8;Q96I59;Q5JPH6;Q96RP9;P22033;Q15031;Q96CM8;Q9NVH6;Q4G176;P12694;Q6JQN1;Q99797;Q9BW92;Q5T160;Q8N465;Q7Z3D6;Q969S9;P26440;O14874;Q9ULD0;P42765;P27144;P30038;Q96CB9;Q6PI48;P51553;Q969Z0;Q9UL12;A6NJ78;P43897;Q9Y606;O75127;Q6UB35;P22830;Q96DP5;Q5TC12;P11498;Q9Y2Z4;Q9H3H1;Q02252;O95900;Q6P087;Q9H4K7;Q8NFV4;O95299;Q96RQ3;O94925;O95363;Q9UI43;Q8N442;Q9BXW7;P13196;Q5JTZ9;Q9Y2Z2;Q6P587;Q05932;Q14197;P11182	1	0.015873015873	
O60563;O60885	1	0.5	
P52948;Q8WUM0;Q12769;P57740;Q8NFH4	1	0.2	
Q9NWN3;Q96DZ1	1	0.5	
P05165;P05166;Q9NSE4;Q96RQ3;Q9Y375;Q9NP81;Q7L3T8;Q5JRX3;Q96RP9;Q5JPH6;Q15031;Q96CM8;Q9NVH6;Q4G176;Q9BW92;P22033;P12694;O14874;P26440;Q6JQN1;Q99797;Q5T160;Q7Z3D6;Q8N465;Q96CB9;Q969S9;Q9ULD0;Q6PI48;Q9UL12;P30038;P27144;P42765;Q969Z0;Q6UB35;Q9Y606;P51553;A6NJ78;Q96I59;P43897;P22830;O75127;Q96DP5;Q5TC12;Q8NFV4;O75616;Q9Y2Z4;P11498;Q9H3H1;O94925;Q02252;Q9BXW7;O95299;Q9H4K7;O95900;Q96GW9;Q6P087;Q8N442;Q9UI43;Q16740;Q9Y2Z2;Q5JTZ9;O95363;P13196;Q9HA92;Q7L592;Q6P587;Q14197;Q05932;P11182;O00217;P49590;O15091;Q8NCN5;Q9BQ52	1	0.0135135135135	
Q92618;O75362;Q92766;Q9P2K3;Q9H9B1;O60341;Q9UKL0;Q92769;Q96KQ7;Q13547	1	0.1	
Q7Z7H8;O75394;Q96EL3;Q6P161;Q6P1L8;Q8N5N7;Q9BQ48;Q13405;Q7Z2W9;Q9BZE1;Q8N983;Q9NYK5;Q9H0U6;Q8TCC3;Q9NWU5;Q16540;P52815;Q9BYD3;Q96GC5;Q96DV4;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q9NZE8;Q13084;Q9NRX2;Q8IXM3;Q9P0M9;Q9H2W6;Q4U2R6;P09001;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9NQ50;P82673;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	3	0.0441176470588	
Q8IWF2;Q96AY3;O95479;Q5NDL2;Q5T4B2	2	0.4	
O75489;O95139;P17568;P19404;P56556;P03886;Q9Y6M9;O75438;O43181;O95182;O43920;O43678;O96000;P51970;O95168;P49821;Q16718;O75380;P03891;Q9NX14;O75306;O95167;P28331;Q9UI09;O95299;Q9P0J0;O43674;O00217;O75251;O95169;O95298;O43676	1	0.03125	
Q969Z0;Q4G176;Q96CM8;P22033;Q7L3T8;Q96RP9;Q5T160;Q99797;Q9ULD0;P12694;Q969S9;Q5JPH6;Q9NSE4;Q9NVH6;Q9BW92;P26440;O14874;Q15031;P05166;P30038;P42765;P27144;Q96CB9;P05165;Q8N465;Q7Z3D6;Q6PI48;Q6JQN1;Q9UL12;P51553;A6NJ78;Q6UB35;P43897;Q9Y606;O75127;Q96DP5;Q96I59;P22830;Q5TC12;Q02252;O95900;Q9H3H1;P11498;Q9Y2Z4;O75616;O95299;Q9H4K7;Q8NFV4;O95363;Q9UI43;Q9BXW7;Q5JTZ9;O94925;Q8N442;P13196;Q9Y2Z2;Q9Y375;Q6P587;Q96RQ3;Q05932;Q14197;Q9HA92;Q16740;P49590;P11182	1	0.0153846153846	
Q9UHF7;Q92769;O94776;O95983;Q09028;O60341	1	0.166666666667	
Q7KZI7;Q9P0L2	2	1.0	
Q9C010;P17612	1	0.5	
Q9NWZ5;Q8TD19;O14733;Q96LD4;Q15349;P51812;O75676;Q9UQ88;Q14012;Q9H7B4;Q8IU85;Q96RR4	1	0.0833333333333	
Q9Y2R9;P82930;P82932;Q9Y2R5;P82650;O60783;O15235;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.044776119403	
Q9Y3D9;P82663;Q9Y2R9;Q9BYD1;Q9Y3B7;Q9NRX2;Q7Z2W9;Q8TCC3;Q16540;Q8N5N7;Q9NWU5;Q96DV4;Q13405;Q96GC5;Q9BYD3;Q9BYD2;Q6P161;Q7Z7F7;Q9H0U6;Q9NYK5;Q9BZE1;Q9BYC8;Q9HD33;Q9P015;Q9NVS2;Q9P0M9;Q7Z7H8;P09001;Q4U2R6;Q9NZE8;Q96A35;Q8IXM3;Q9BYC9;Q13084;Q9BRJ2;Q9H2W6;Q86TS9;Q9NP92;Q5T653;Q9NX20;Q9Y6G3;Q9Y2R5;Q9BQC6;O60783;P82921;Q9Y3D5;Q9Y291;P82930;Q9BYD6;Q9Y399;P82664;Q14197;P49406;P82650;P82912;Q9Y3D3;Q96EL2;P82673;P82932;P82675;Q9Y2Q9;Q9NQ50;P82933;O15235	3	0.046875	
Q96GW9;Q5T160;Q96CM8;Q9NSE4;Q99797;Q96RP9;Q15031;Q5JRX3;Q5JPH6;Q969S9;Q9BW92;P12694;Q9NVH6;Q4G176;O14874;P05166;P05165;Q6JQN1;Q96CB9;Q6PI48;P42765;Q8N465;P51553;Q9Y606;Q96I59;Q7L592;O95900;Q16740;P22830;Q6P087;A6NJ78;O75127;Q9UI43;Q6UB35;Q9Y2Z4;Q9NUB1;Q9BVS5;P22570;P11498;Q96RQ3;Q5TC12;Q9H4K7;Q8WVM0;Q9BQ52;Q13825;Q8NFV4;Q9BXW7;Q5JTZ9;Q9Y2Z2;Q8N442;O94925;Q9Y375;P49590;Q8NCN5;P13196;Q9HA92;Q9NTG7;O95299;Q14197;Q15118;Q9HAC7;Q96EH3;O15091;P36776;O00217	1	0.0153846153846	
Q8NC60;Q9Y6M9	1	0.5	
P03897;O15239;Q9NX14;O75438;O96000;P56556;O43678;O75380;O95182;Q16718;O43920;P51970;O95139;P49821;P17568;P19404;Q9Y6M9;O95168;P56181;O43181;O75489;P28331;O75306;Q9UI09;O14561;O95167;O95299;O00217;O75251	1	0.0344827586207	
Q9Y4L1;P11021	1	0.5	
O43181;O43674;Q9Y6M9	1	0.333333333333	
Q17R98;O75362;Q92618;P56545;Q92766;Q92769;Q9P2K3	1	0.142857142857	
Q9BV73;Q96RY7	1	0.5	
P26885;Q86YB8	1	0.5	
Q8NCN5;Q6UB35;Q9UL12;Q5JRX3;Q9NP81;Q7L3T8;Q96RP9;O00217;Q9NVH6;Q15031;Q96CM8;P12694;Q6JQN1;Q4G176;Q9BW92;Q9NSE4;P05166;O14874;P05165;Q9HCC0;Q6PI48;Q96CB9;Q969S9;O75251;Q8N465;Q9Y606;Q96GW9;Q96I59;O95299;O75489;P22830;P28331;O75306;Q16795;Q9BXW7;Q9Y375;Q9Y2Z2	1	0.027027027027	
O15239;P03897;Q9NX14;O75438;O96000;P56556;O43678;O75380;O95182;Q16718;O95178;O43920;P51970;P49821;O95139;P17568;P19404;P03891;O95168;Q9Y6M9;P56181;O43181;O75489;P28331;Q86Y39;O75306;O14561;Q9UI09;O95299;O95167;O00217;O75251	1	0.03125	
P82650;P82930;P82932;Q9Y2R5;O60783;O15235;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q8N983;Q8IXM3;Q9BYC8;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q9BQC6;Q86TS9;Q13084;Q7Z7H8;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50;Q8N3Z3	3	0.0454545454545	
Q5T160;Q96CM8;Q96GW9;Q9NSE4;Q99797;Q96RP9;Q15031;Q5JRX3;Q5JPH6;Q969S9;Q9BW92;P12694;Q9NVH6;Q4G176;O14874;P05166;P05165;Q7L3T8;P22033;Q96CB9;Q6JQN1;P42765;Q9ULD0;P26440;Q8N465;Q6PI48;P27144;Q969Z0;P30038;P51553;Q7Z3D6;A6NJ78;Q6UB35;Q9UL12;O75127;Q9Y606;P43897;Q96I59;O95900;P22830;Q96DP5;Q5TC12;P11498;Q9Y2Z4;Q96RQ3;O75616;Q8NFV4;Q9H4K7;Q9Y375;Q8N442;Q9BXW7;O94925;Q5JTZ9;P13196;Q9Y2Z2	1	0.0181818181818	
Q13547;Q09028;Q92769	1	0.333333333333	
O43299;P25440	1	0.5	
O43678;O95139;P56556;O15239;Q86Y39;O95182;P49821;O96000;O75438;P17568;P19404;P03891;Q16718;Q9Y6M9;P51970;O75380;O95168;Q9NX14;O43181;O43920;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O00217;O75251	1	0.0344827586207	
P11498;Q9NSE4;P05165;P05166;Q96RQ3;P49590;Q9Y2Z4;Q96I59;Q96GW9;Q15031;Q96RP9;Q96CM8;Q4G176;Q6JQN1;Q969S9;Q9BW92;Q99797;Q5JPH6;P12694;O14874;Q9NVH6;Q5T160;P22033;P42765;Q6PI48;Q7L3T8;Q969Z0;Q8N465;P26440;P27144;P51553;P30038;Q7Z3D6;A6NJ78;Q96CB9;O75127;Q9ULD0;Q9UL12;Q6UB35;Q9Y606;P43897;O95900;Q5TC12;P22830;Q96DP5;O75616;Q6P087;Q9H3H1;Q9UI43;Q02252;O95299;Q9H4K7;O94925;O95363;Q8NFV4;P13196;Q8N442;Q9Y375;Q9BXW7;Q9Y2Z2;Q5JTZ9;Q05932;Q14197;Q6P587;P11182;Q7L592;Q9HA92	1	0.0149253731343	
Q5JRX3;Q8NCN5;Q9NP81;Q7L3T8;O00217;Q96RP9;Q9NVH6;P12694;Q15031;Q96CM8;Q9NSE4;Q9BW92;Q4G176;P05166;Q9HCC0;P05165;Q6JQN1;O14874;Q9UL12;Q6PI48;Q96CB9;Q969S9;O75251;O75489;P28331;O95299;Q96GW9;P22830;Q9Y606;Q5JPH6;Q6UB35;O75306;Q96I59;Q16795;Q5T160;Q9BXW7;Q9Y375;P22033;Q9Y2Z2;Q99797;Q969Z0;Q96RQ3;P26440;O94925;Q9HA92;Q9ULD0;Q5JTZ9;Q9BQ52;Q7L592	1	0.0204081632653	
Q9Y232;O75362;P56545;Q92618;Q9P2K3;Q92769;Q92766;Q13547	1	0.125	
Q6P161;Q9BZE1;Q96EL3;Q8N983;Q6P1L8;Q9BQ48;O75394;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y3D9;Q9Y2Q9;Q9H9J2;P82933	3	0.0441176470588	
Q8N983;Q96GC5;Q96EL3;Q9BQ48;Q6P1L8;O75394;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y2Q9;P82933;Q9H9J2	3	0.0434782608696	
Q9NWT8;P82663;Q9Y2R9	1	0.333333333333	
P82664;Q9Y399;P82932;P82930;P82650;Q9Y2R5;Q9Y2Q9;O60783;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;O15235;P82673;Q9Y3D3;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q9BQC6;Q13084;Q7Z7H8;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	3	0.0454545454545	
