Complexes(UniProt IDs)	drug-target-protein	Percentage(|drug-target-protein| / |complex|)	
P52815;Q9Y291;Q9NX20;Q96A35;Q9NRX2;Q96DV4;P09001;Q9BRJ2;Q9NWU5;Q9BYD3;Q13405;Q9P0M9;Q8N983;Q96GC5;Q9HD33;Q9BYC8;Q9NYK5;Q9Y3B7;Q7Z7F7;Q9BYD2;Q9NVS2;Q8IXM3;Q9P015;Q7Z7H8;Q9BYC9;Q9H2W6;Q9NP92;Q14197;Q9BQC6;P49406;Q9BYD6;P82930;Q9Y3D5;Q9Y399;P82664;Q9NQ50;Q9H9J2;Q96EL2	1	0.0263157894737	
P19784;Q8WUA2;Q9UBC1	1	0.333333333333	
P82675;P82932;P82930;P82650;Q9Y2R5;O60783;Q9Y399;Q9Y2Q9;O15235;P82664;P82921;Q9Y3D5;Q9NVS2;P82912;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q96EL3;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2	3	0.0422535211268	
Q96EE3;Q8NFH3;Q8WUM0;P57740;Q8NFH4;Q12769;P55735;P52948	1	0.125	
Q92769;O75362;Q13547	1	0.333333333333	
Q15369;Q15370	2	1.0	
P03897;O15239;O95139;Q9NX14;O75438;P56556;O96000;O43678;O95182;O75380;O43920;O95178;Q16718;P51970;P49821;P17568;P19404;O95168;P03891;Q9Y6M9;P56181;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95299;O95167;Q8N183;O00217;O75251	2	0.0625	
Q9HD33;O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9BZE1;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;P82932;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	3	0.0428571428571	
O43920;O43678;O96000;O95178;Q16718;O95182;P56556;O75380;P51970;P49821;O15239;O75438;P17568;O95139;P19404;P56181;P03897;Q9NX14;O95168;Q9Y6M9;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O00217;O75251	1	0.0333333333333	
P25116;P55085	1	0.5	
Q8N3Z3;Q9HAC7;Q9NX20;Q9BYD6;Q96A35;Q9NRX2;Q9P015;P09001;Q9BRJ2;Q9NWU5;Q6P1L8;Q9BYC8;Q9BYD2;Q9Y3B7;Q7Z7F7;P49406;Q9BQC6;Q9BYC9;Q9HD33;Q14197;Q8IXM3;Q9H2W6;Q9P0M9;Q9NZE8;Q9NP92;Q5T653;Q96GC5;Q9H0U6;Q4U2R6;Q13084;Q9BYD1;Q9NVS2;Q9Y6G3;Q9Y291;P82921;P82664;Q9NQ50;O60783;Q9Y399;P82650;Q9Y3D3;Q96EL2;P82673;P82675;Q9Y3D9;Q9Y2Q9;Q9H9J2;Q8NE62	2	0.0416666666667	
O15440;P33527	1	0.5	
Q13547;Q92769;O75362;Q92618;Q92766;Q9P2K3;Q96BD5;Q9UKL0	1	0.125	
P02745;P28300	1	0.5	
Q7Z3B4;Q9BVL2	2	1.0	
Q9Y2H9;Q9P0L2;Q6P0Q8	1	0.333333333333	
Q92618;O75362;P56545;Q92766;Q9Y232;Q9P2K3;Q92769;Q13547;Q96KQ7;Q9H9B1;Q9UKL0	1	0.0909090909091	
P10644;P13861;P17612	1	0.333333333333	
Q96EL3;O75394;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82664;Q9NQ50;Q9H9J2;Q96EL2	1	0.0181818181818	
P20839;P12268	1	0.5	
Q9H173;P20933	1	0.5	
Q9NQV5;Q8TD19	1	0.5	
Q9H040;O60885	1	0.5	
Q86Y39;O75438;O96000;O95182;P56556;O15239;Q16718;O43678;P49821;P03891;P17568;P19404;O95139;Q9NX14;O95168;Q9Y6M9;O43181;O75489;P28331;O75306;O14561;Q9UI09;O95167;O95299;O00217;O75251	1	0.0384615384615	
P05166;Q96RQ3;Q9NSE4;P05165;Q9Y375;Q9NP81;Q7L3T8;Q5JRX3;Q96RP9;Q5JPH6;Q15031;Q96CM8;Q9NVH6;Q4G176;Q9BW92;P22033;P12694;O14874;P26440;Q6JQN1;Q99797;Q5T160;Q7Z3D6;Q8N465;Q96CB9;Q969S9;Q9ULD0;Q6PI48;Q9UL12;P30038;P27144;P42765;Q969Z0;Q6UB35;Q9Y606;P51553;A6NJ78;Q96I59;P43897;P22830;O75127;Q96DP5;Q5TC12;Q8NFV4;O75616;Q9Y2Z4;P11498;O94925;Q9BXW7;Q96GW9;O95299;Q9H4K7;Q9Y2Z2;Q8N442;Q16740;Q5JTZ9;Q9UI43;Q6P087;Q7L592;Q9HA92;Q9BQ52;P13196	1	0.0161290322581	
Q7L3V2;Q13546	1	0.5	
