Complexes(UniProt IDs)	Min-p-value	Avg-p-value	Number-of-resources
Q9Y6B7;Q9UPM8;Q9Y587;O00189	3.7408120157e-14	0.006913173762498139	146
Q9BQ48;Q96EL3;O75394;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y2Q9;P82933;Q9H9J2	1.54772122757e-165	0.0016558170376933354	282
Q9Y5I3;Q9UN73;Q9Y5I0;Q9Y5H8;Q9Y5H6;Q9Y5I1;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5	4.67029213403e-20	0.007654371282363447	41
Q7Z7H8;O75394;Q96EL3;Q6P161;Q6P1L8;Q8N5N7;Q9BQ48;Q13405;Q7Z2W9;Q9BZE1;Q8N983;Q9NYK5;Q9H0U6;Q8TCC3;Q9NWU5;Q16540;P52815;Q9BYD3;Q96GC5;Q96DV4;Q9BYD1;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q7Z7F7;Q9NZE8;Q13084;Q9NRX2;Q8IXM3;Q9P0M9;Q9H2W6;Q4U2R6;P09001;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;P82650;Q9NQ50;P82673;P82675;Q9Y3D9;Q9Y2Q9;P82933;Q9H9J2	1.54772122757e-165	0.0012759732404176148	277
Q6P161;Q9BZE1;Q96EL3;Q8N983;Q6P1L8;Q9BQ48;O75394;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;Q9Y2R5;P82921;Q9Y3D5;P82664;Q9Y2R9;P82930;Q9Y399;Q96EL2;P82912;Q9Y3D3;P82673;Q9NQ50;P82675;Q9Y3D9;Q9Y2Q9;Q9H9J2;P82933	1.54772122757e-165	0.0014523205070134798	278
O95522;Q5VWM4	Null	Null	0
P82930;Q9Y399;P82932;Q9Y2R5;P82650;Q9Y2Q9;O60783;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;O15235;Q9Y2R9;P82673;Q9Y3D3;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2	8.13080137187e-172	0.0019028327563571676	292
A0A087WUI2;H7C0T3	0.0499622784796	0.0499622784796	1
P48444;Q9P299;O14579;P35606;P53621;P53618;P61923	1.6966079848e-18	0.001238192910191749	43
P17927;Q2VPA4	0.000101268205102	0.0006923215386782858	7
P82921;P82912;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;Q9Y3D5;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q6P1L8;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	1.54772122757e-165	0.001237209968784083	276
P82930;P82932;Q9Y2R5;O60783;P82650;O15235;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	2.64806228344e-167	0.0013438153619419679	288
P14060;P26439	1.25155676453e-05	0.008803804534022982	29
Q6P1L8;Q9NYK5;Q96EL3;Q9BQ48;Q8N983;O75394;Q6P161;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82921;Q9Y3D5;P82664;P82930;Q9Y399;Q96EL2;P82912;Q9NQ50;Q9Y3D3;P82673;Q9H9J2;P82675	2.05630783893e-150	0.0014905854105712079	258
Q96M96;Q5JSP0	0.00192658622317	0.005632866299522	5
P01569;P01570;P01562;P01571;P05013	4.10067813161e-10	0.003144131359958372	88
Q9Y2R9;P82930;P82932;Q9Y2R5;P82650;O60783;O15235;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	1.88005874259e-162	0.0014876955867884067	280
E7ES33;B5ME97	0.0309134520838	0.0309134520838	3
Q9Y399;P82932;Q9Y2Q9;Q9Y2R5;P82650;P82930;O60783;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50;Q8N3Z3	4.13973901824e-161	0.0010447919637751155	277
Q8WYJ6;Q15019;Q14141;O43236;Q16181;Q9NVA2;Q9UHD8;Q92599;Q9UH03;Q99719	5.08694942705e-29	0.006855959116103551	44
Q92871;O15305	1.57272344749e-05	0.01103560240728717	14
Q9Y2R5;O15235;P82932;O60783;P82650;P82930;Q9Y399;Q9Y2Q9;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3.46096063446e-164	0.0016670496829834305	292
Q9Y2R5;P82932;P82930;Q9Y399;Q9Y2Q9;P82650;O60783;P82664;O15235;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;P82675;Q9Y6G3;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9NP92;Q9P0M9;Q9BRJ2;Q86TS9;Q9BQC6;Q13084;Q7Z7H8;Q9H2W6;P52815;Q14197;P49406;Q9Y3D9;Q9NQ50;Q9H9J2;Q8N3Z3	3.46096063446e-164	0.0023474008737196695	303
Q9Y2Q9;P82932;Q9Y399;Q9Y2R5;P82650;P82930;O60783;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;Q9Y3D3;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;O75394;Q13405;Q9NYK5;Q9BYD1;Q9H0U6;Q9BZE1;Q6P161;Q9NZE8;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q7Z7H8;Q13084;Q9BQC6;Q14197;P49406;Q9Y3D9;Q9NQ50	2.12153940478e-159	0.001681134563845376	284
O75394;Q96EL3;Q9BQ48;Q6P1L8;Q8N983;Q6P161;Q9NYK5;Q13405;Q8N5N7;Q9H0U6;Q9BZE1;Q7Z2W9;Q8TCC3;Q16540;Q9NWU5;P52815;Q9BYD3;Q9BYD1;Q96GC5;Q96DV4;Q9BYC8;Q9BYD2;Q9Y3B7;Q9HD33;Q9NZE8;Q13084;Q7Z7F7;Q9NRX2;Q8IXM3;Q9P0M9;Q4U2R6;Q9H2W6;P09001;Q7Z7H8;Q9NVS2;Q9P015;Q86TS9;Q96A35;Q9BRJ2;Q9BYC9;Q9NP92;Q9Y6G3;Q5T653;Q14197;Q9NX20;Q9BQC6;O60783;P49406;Q9Y291;P82663;Q9BYD6;P82921;Q9Y3D5;P82664;Q9Y2R9;Q9NQ50;Q96EL2;P82912;Q9H9J2;P82673;P82675	1.50793285509e-144	0.0018841964139519535	259
Q9Y3D3;P82932;Q9Y2R5;P82930;P82650;O60783;Q9Y2Q9;Q9Y399;O15235;P82664;P82921;Q9Y3D5;P82912;Q9NVS2;Q9Y2R9;P82673;Q96EL2;Q9Y291;P82933;Q9Y6G3;P82675;Q9BYC9;Q9NRX2;Q9NX20;Q9P015;Q96A35;Q16540;Q96GC5;Q9BYD6;P82663;Q8TCC3;Q96DV4;Q9BYD3;Q9BQ48;Q7Z2W9;Q9NWU5;Q9HD33;P09001;Q5T653;Q7Z7F7;Q9BYD2;Q9Y3B7;Q8N5N7;Q13405;Q9BYD1;Q9NYK5;Q9H0U6;Q9NZE8;Q9BZE1;Q6P161;Q8N983;Q9BYC8;Q8IXM3;Q4U2R6;Q6P1L8;Q9P0M9;Q9NP92;Q9BRJ2;Q86TS9;Q13084;Q9BQC6;Q9H2W6;Q14197;P49406;Q9Y3D9;Q9NQ50	2.12153940478e-159	0.0015623531355017576	274
