Fitness-score	Complexes(UniProt IDs)
1.47263128924	P54855;Q9Y4X1;Q6UWM9
1.46430224531	A0A0C4DFN2;P35557
1.45409305536	Q68CK6;Q08AH3
1.44857021068	Q8NG76;Q8NG77
1.43948384694	Q9NY56;Q9NPH6
1.43228098822	O00292;O75610
1.40396453539	P36959;Q6PKC0
1.37529330697	Q9UNW9;P51513
1.34401393456	Q8NHR7;Q3KP22
1.3413047025	O75310;P36537;Q9BY64
1.32873189195	Q09428;O60706
1.3011630257	Q96J65;Q96J66
1.30014825088	Q8IZJ0;Q8IU54
1.28015163278	P41439;P14207
1.27762310663	P19876;P09341;P19875
1.27732877537	Q8NGL6;P58180
1.27062403214	Q5VU92;Q5VW00
1.24302476469	P56704;P56703
1.22449387046	P18507;Q8N1C3
1.22320194432	Q13507;Q9HCX4
1.21660528334	Q01064;Q14123;P54750
1.21393041682	P0DMU9;Q5HYN5
1.21099152719	Q9NXZ2;Q86TM3
1.18834182541	Q6NZ63;Q9UHE8
1.17988151192	P17752;Q8IWU9
1.14107129254	Q02846;P51841
1.13426532169	Q5R3F8;P0C7U0
1.12894545652	Q96M98;Q5JSS6
1.12893552027	Q14831;Q14833
1.12030308065	P35913;P16499
1.1015947524	O95936;Q5XKR4
1.09449483096	Q9NP95;P31371
1.09017832797	P37802;Q9UI15
1.08575411282	P20815;P08684;P24462
1.0807551788	P07477;P35030;Q8NHM4
1.05604862353	P07316;P07315
1.05195924	P05451;P48304
1.04027493848	P09972;P04075;P05062
1.02376783944	P00736;P09871
1.0230913839	P08684;P20815
1.02214473993	P98187;Q9HCS2;P78329
1.02179381888	P01210;P01213
1.01415922917	P07327;P00325
1.01006720129	O75019;Q8NHL6;Q8N6C8
0.989878948513	P13929;P06733;P09104
0.989766131454	P24462;P20815
0.981931286919	Q76KX8;Q9UPQ3
0.980905501793	P33260;P33261;P11712;P10632
0.979716937963	P16233;P54317
0.964219723366	Q9Y5I1;Q9Y5I2;Q9H158;Q9Y5I0;Q9UN73;Q9Y5H8;Q9Y5H6;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5;Q9Y5I3
0.962872425049	P01241;P0DML2;Q14406
0.944486338843	Q9H158;Q9Y5I2;Q9Y5I0;Q9UN73;Q9Y5H8;Q9Y5H6;Q9Y5I1;Q9Y5H9;Q9UN74;Q9UN72;Q9UN75;Q9Y5H5
0.942749033537	Q86UU0;Q9BRQ0
0.942725670675	P29466;Q5EG05
0.942195488212	Q9NY84;O95497
0.940137886504	P01571;P01568;P05013;P01570;P01562;P01569;P05014
0.939310492121	Q9BPX5;O15143;O15144;O15511;P59998;O15145;Q92747;P61158;P61160
0.937728858498	P33261;P11712;P33260
0.93652428366	Q96A04;Q8N485
0.929785365594	Q15399;Q9Y2C9
0.924040853788	Q9Y6L6;Q9NPD5
0.91577108225	Q6ZQX7;Q8NEM8
0.911672645307	O60391;Q8TCU5
0.911354292668	Q9Y5H8;Q9H158;Q9Y5I0;Q9UN73;Q9Y5H6;Q9Y5I1;Q9UN74;Q9Y5H9;Q9UN72;Q9UN75;Q9Y5H5;Q9Y5I3
0.909809259505	Q12857;O00712;Q14938;Q5VW31
0.909007910789	Q9H999;Q8TE04
0.908549925344	Q96N28;Q9Y3B1;O43715
0.898996949287	Q86UR5;Q9UQ26
0.898341432617	O75821;Q99613;Q9UBQ5;Q13347;B5ME19;Q9Y262;O00303;O15371;P55884;O15372;Q7L2H7;P60228
0.898121498764	A6NMB1;Q96LC7
